Year,Units,Series,federal state,GeoCode,type of care,Value
2006,percentage,a) 0 to 2-year-olds,,,,6.499
2007,percentage,a) 0 to 2-year-olds,,,,7.321
2008,percentage,a) 0 to 2-year-olds,,,,8.284
2009,percentage,a) 0 to 2-year-olds,,,,9.87
2010,percentage,a) 0 to 2-year-olds,,,,11.597
2011,percentage,a) 0 to 2-year-olds,,,,12.94
2012,percentage,a) 0 to 2-year-olds,,,,14.629
2013,percentage,a) 0 to 2-year-olds,,,,15.758
2014,percentage,a) 0 to 2-year-olds,,,,17.462
2015,percentage,a) 0 to 2-year-olds,,,,18.065
2016,percentage,a) 0 to 2-year-olds,,,,18.32
2017,percentage,a) 0 to 2-year-olds,,,,18.478
2018,percentage,a) 0 to 2-year-olds,,,,18.837
2019,percentage,a) 0 to 2-year-olds,,,,19.321
2020,percentage,a) 0 to 2-year-olds,,,,19.583
2021,percentage,a) 0 to 2-year-olds,,,,18.942
2022,percentage,a) 0 to 2-year-olds,,,,19.297
2023,percentage,a) 0 to 2-year-olds,,,,19.659
2024,percentage,a) 0 to 2-year-olds,,,,19.97
2030,percentage,a) 0 to 2-year-olds,,,,
2006,percentage,a) 0 to 2-year-olds,baden-wuerttemberg,code08,,1.71
2007,percentage,a) 0 to 2-year-olds,baden-wuerttemberg,code08,,2.18
2008,percentage,a) 0 to 2-year-olds,baden-wuerttemberg,code08,,2.691
2009,percentage,a) 0 to 2-year-olds,baden-wuerttemberg,code08,,3.375
2010,percentage,a) 0 to 2-year-olds,baden-wuerttemberg,code08,,4.473
2011,percentage,a) 0 to 2-year-olds,baden-wuerttemberg,code08,,5.404
2012,percentage,a) 0 to 2-year-olds,baden-wuerttemberg,code08,,6.558
2013,percentage,a) 0 to 2-year-olds,baden-wuerttemberg,code08,,7.285
2014,percentage,a) 0 to 2-year-olds,baden-wuerttemberg,code08,,8.685
2015,percentage,a) 0 to 2-year-olds,baden-wuerttemberg,code08,,9.338
2016,percentage,a) 0 to 2-year-olds,baden-wuerttemberg,code08,,9.605
2017,percentage,a) 0 to 2-year-olds,baden-wuerttemberg,code08,,9.597
2018,percentage,a) 0 to 2-year-olds,baden-wuerttemberg,code08,,9.747
2019,percentage,a) 0 to 2-year-olds,baden-wuerttemberg,code08,,9.855
2020,percentage,a) 0 to 2-year-olds,baden-wuerttemberg,code08,,9.924
2021,percentage,a) 0 to 2-year-olds,baden-wuerttemberg,code08,,9.479
2022,percentage,a) 0 to 2-year-olds,baden-wuerttemberg,code08,,9.528
2006,percentage,a) 0 to 2-year-olds,bavaria,code09,,1.905
2007,percentage,a) 0 to 2-year-olds,bavaria,code09,,2.389
2008,percentage,a) 0 to 2-year-olds,bavaria,code09,,2.902
2009,percentage,a) 0 to 2-year-olds,bavaria,code09,,3.5
2010,percentage,a) 0 to 2-year-olds,bavaria,code09,,4.46
2011,percentage,a) 0 to 2-year-olds,bavaria,code09,,5.397
2012,percentage,a) 0 to 2-year-olds,bavaria,code09,,7.063
2013,percentage,a) 0 to 2-year-olds,bavaria,code09,,7.907
2014,percentage,a) 0 to 2-year-olds,bavaria,code09,,8.942
2015,percentage,a) 0 to 2-year-olds,bavaria,code09,,9.418
2016,percentage,a) 0 to 2-year-olds,bavaria,code09,,9.57
2017,percentage,a) 0 to 2-year-olds,bavaria,code09,,9.605
2018,percentage,a) 0 to 2-year-olds,bavaria,code09,,9.826
2019,percentage,a) 0 to 2-year-olds,bavaria,code09,,10.056
2020,percentage,a) 0 to 2-year-olds,bavaria,code09,,10.204
2021,percentage,a) 0 to 2-year-olds,bavaria,code09,,9.467
2022,percentage,a) 0 to 2-year-olds,bavaria,code09,,9.591
2006,percentage,a) 0 to 2-year-olds,berlin,code11,,19.406
2007,percentage,a) 0 to 2-year-olds,berlin,code11,,20.272
2008,percentage,a) 0 to 2-year-olds,berlin,code11,,21.029
2009,percentage,a) 0 to 2-year-olds,berlin,code11,,22.725
2010,percentage,a) 0 to 2-year-olds,berlin,code11,,23.994
2011,percentage,a) 0 to 2-year-olds,berlin,code11,,24.845
2012,percentage,a) 0 to 2-year-olds,berlin,code11,,26.106
2013,percentage,a) 0 to 2-year-olds,berlin,code11,,27.091
2014,percentage,a) 0 to 2-year-olds,berlin,code11,,28.114
2015,percentage,a) 0 to 2-year-olds,berlin,code11,,27.481
2016,percentage,a) 0 to 2-year-olds,berlin,code11,,27.753
2017,percentage,a) 0 to 2-year-olds,berlin,code11,,27.505
2018,percentage,a) 0 to 2-year-olds,berlin,code11,,28.477
2019,percentage,a) 0 to 2-year-olds,berlin,code11,,27.816
2020,percentage,a) 0 to 2-year-olds,berlin,code11,,27.695
2021,percentage,a) 0 to 2-year-olds,berlin,code11,,26.37
2022,percentage,a) 0 to 2-year-olds,berlin,code11,,26.272
2006,percentage,a) 0 to 2-year-olds,brandenburg,code12,,22.122
2007,percentage,a) 0 to 2-year-olds,brandenburg,code12,,23.804
2008,percentage,a) 0 to 2-year-olds,brandenburg,code12,,23.845
2009,percentage,a) 0 to 2-year-olds,brandenburg,code12,,26.648
2010,percentage,a) 0 to 2-year-olds,brandenburg,code12,,29.379
2011,percentage,a) 0 to 2-year-olds,brandenburg,code12,,30.734
2012,percentage,a) 0 to 2-year-olds,brandenburg,code12,,32.199
2013,percentage,a) 0 to 2-year-olds,brandenburg,code12,,33.038
2014,percentage,a) 0 to 2-year-olds,brandenburg,code12,,33.506
2015,percentage,a) 0 to 2-year-olds,brandenburg,code12,,33.209
2016,percentage,a) 0 to 2-year-olds,brandenburg,code12,,33.983
2017,percentage,a) 0 to 2-year-olds,brandenburg,code12,,33.462
2018,percentage,a) 0 to 2-year-olds,brandenburg,code12,,34.534
2019,percentage,a) 0 to 2-year-olds,brandenburg,code12,,35.565
2020,percentage,a) 0 to 2-year-olds,brandenburg,code12,,36.381
2021,percentage,a) 0 to 2-year-olds,brandenburg,code12,,34.531
2022,percentage,a) 0 to 2-year-olds,brandenburg,code12,,34.892
2006,percentage,a) 0 to 2-year-olds,bremen,code04,,2.704
2007,percentage,a) 0 to 2-year-olds,bremen,code04,,3.631
2008,percentage,a) 0 to 2-year-olds,bremen,code04,,4.605
2009,percentage,a) 0 to 2-year-olds,bremen,code04,,5.08
2010,percentage,a) 0 to 2-year-olds,bremen,code04,,6.238
2011,percentage,a) 0 to 2-year-olds,bremen,code04,,8.517
2012,percentage,a) 0 to 2-year-olds,bremen,code04,,9.842
2013,percentage,a) 0 to 2-year-olds,bremen,code04,,10.88
2014,percentage,a) 0 to 2-year-olds,bremen,code04,,13.496
2015,percentage,a) 0 to 2-year-olds,bremen,code04,,14.348
2016,percentage,a) 0 to 2-year-olds,bremen,code04,,14.371
2017,percentage,a) 0 to 2-year-olds,bremen,code04,,13.992
2018,percentage,a) 0 to 2-year-olds,bremen,code04,,14.22
2019,percentage,a) 0 to 2-year-olds,bremen,code04,,13.94
2020,percentage,a) 0 to 2-year-olds,bremen,code04,,14.467
2021,percentage,a) 0 to 2-year-olds,bremen,code04,,14.324
2022,percentage,a) 0 to 2-year-olds,bremen,code04,,14.27
2006,percentage,a) 0 to 2-year-olds,hamburg,code02,,8.872
2007,percentage,a) 0 to 2-year-olds,hamburg,code02,,9.861
2008,percentage,a) 0 to 2-year-olds,hamburg,code02,,10.449
2009,percentage,a) 0 to 2-year-olds,hamburg,code02,,12.318
2010,percentage,a) 0 to 2-year-olds,hamburg,code02,,14.594
2011,percentage,a) 0 to 2-year-olds,hamburg,code02,,16.836
2012,percentage,a) 0 to 2-year-olds,hamburg,code02,,19.008
2013,percentage,a) 0 to 2-year-olds,hamburg,code02,,19.907
2014,percentage,a) 0 to 2-year-olds,hamburg,code02,,20.444
2015,percentage,a) 0 to 2-year-olds,hamburg,code02,,21.455
2016,percentage,a) 0 to 2-year-olds,hamburg,code02,,21.733
2017,percentage,a) 0 to 2-year-olds,hamburg,code02,,24.046
2018,percentage,a) 0 to 2-year-olds,hamburg,code02,,23.434
2019,percentage,a) 0 to 2-year-olds,hamburg,code02,,26.234
2020,percentage,a) 0 to 2-year-olds,hamburg,code02,,26.414
2021,percentage,a) 0 to 2-year-olds,hamburg,code02,,24.99
2022,percentage,a) 0 to 2-year-olds,hamburg,code02,,25.835
2006,percentage,a) 0 to 2-year-olds,hesse,code06,,2.878
2007,percentage,a) 0 to 2-year-olds,hesse,code06,,3.909
2008,percentage,a) 0 to 2-year-olds,hesse,code06,,5.1
2009,percentage,a) 0 to 2-year-olds,hesse,code06,,6.297
2010,percentage,a) 0 to 2-year-olds,hesse,code06,,8.539
2011,percentage,a) 0 to 2-year-olds,hesse,code06,,10.005
2012,percentage,a) 0 to 2-year-olds,hesse,code06,,11.43
2013,percentage,a) 0 to 2-year-olds,hesse,code06,,12.775
2014,percentage,a) 0 to 2-year-olds,hesse,code06,,14.788
2015,percentage,a) 0 to 2-year-olds,hesse,code06,,16.068
2016,percentage,a) 0 to 2-year-olds,hesse,code06,,16.529
2017,percentage,a) 0 to 2-year-olds,hesse,code06,,16.632
2018,percentage,a) 0 to 2-year-olds,hesse,code06,,16.906
2019,percentage,a) 0 to 2-year-olds,hesse,code06,,17.521
2020,percentage,a) 0 to 2-year-olds,hesse,code06,,17.944
2021,percentage,a) 0 to 2-year-olds,hesse,code06,,17.176
2022,percentage,a) 0 to 2-year-olds,hesse,code06,,17.855
2006,percentage,a) 0 to 2-year-olds,mecklenburg western pomerania,code13,,18.132
2007,percentage,a) 0 to 2-year-olds,mecklenburg western pomerania,code13,,18.712
2008,percentage,a) 0 to 2-year-olds,mecklenburg western pomerania,code13,,19.746
2009,percentage,a) 0 to 2-year-olds,mecklenburg western pomerania,code13,,22.056
2010,percentage,a) 0 to 2-year-olds,mecklenburg western pomerania,code13,,23.97
2011,percentage,a) 0 to 2-year-olds,mecklenburg western pomerania,code13,,25.107
2012,percentage,a) 0 to 2-year-olds,mecklenburg western pomerania,code13,,27.884
2013,percentage,a) 0 to 2-year-olds,mecklenburg western pomerania,code13,,29.861
2014,percentage,a) 0 to 2-year-olds,mecklenburg western pomerania,code13,,31.527
2015,percentage,a) 0 to 2-year-olds,mecklenburg western pomerania,code13,,32.739
2016,percentage,a) 0 to 2-year-olds,mecklenburg western pomerania,code13,,33.267
2017,percentage,a) 0 to 2-year-olds,mecklenburg western pomerania,code13,,34.299
2018,percentage,a) 0 to 2-year-olds,mecklenburg western pomerania,code13,,35.628
2019,percentage,a) 0 to 2-year-olds,mecklenburg western pomerania,code13,,37.42
2020,percentage,a) 0 to 2-year-olds,mecklenburg western pomerania,code13,,39.352
2021,percentage,a) 0 to 2-year-olds,mecklenburg western pomerania,code13,,39.716
2022,percentage,a) 0 to 2-year-olds,mecklenburg western pomerania,code13,,41.48
2006,percentage,a) 0 to 2-year-olds,lower saxony,code03,,1.274
2007,percentage,a) 0 to 2-year-olds,lower saxony,code03,,1.619
2008,percentage,a) 0 to 2-year-olds,lower saxony,code03,,2.104
2009,percentage,a) 0 to 2-year-olds,lower saxony,code03,,2.924
2010,percentage,a) 0 to 2-year-olds,lower saxony,code03,,3.772
2011,percentage,a) 0 to 2-year-olds,lower saxony,code03,,4.827
2012,percentage,a) 0 to 2-year-olds,lower saxony,code03,,5.923
2013,percentage,a) 0 to 2-year-olds,lower saxony,code03,,7.113
2014,percentage,a) 0 to 2-year-olds,lower saxony,code03,,8.687
2015,percentage,a) 0 to 2-year-olds,lower saxony,code03,,9.28
2016,percentage,a) 0 to 2-year-olds,lower saxony,code03,,9.999
2017,percentage,a) 0 to 2-year-olds,lower saxony,code03,,10.395
2018,percentage,a) 0 to 2-year-olds,lower saxony,code03,,10.938
2019,percentage,a) 0 to 2-year-olds,lower saxony,code03,,11.708
2020,percentage,a) 0 to 2-year-olds,lower saxony,code03,,12.106
2021,percentage,a) 0 to 2-year-olds,lower saxony,code03,,11.773
