Year,Units,Zeitreihe,Value
2005,2005 = 100,Endenergieverbrauch im Personenverkehr,98.912
2006,2005 = 100,Endenergieverbrauch im Personenverkehr,98.167
2007,2005 = 100,Endenergieverbrauch im Personenverkehr,98.273
2008,2005 = 100,Endenergieverbrauch im Personenverkehr,97.195
2009,2005 = 100,Endenergieverbrauch im Personenverkehr,98.332
2010,2005 = 100,Endenergieverbrauch im Personenverkehr,98.247
2011,2005 = 100,Endenergieverbrauch im Personenverkehr,98.973
2012,2005 = 100,Endenergieverbrauch im Personenverkehr,98.299
2013,2005 = 100,Endenergieverbrauch im Personenverkehr,98.237
2014,2005 = 100,Endenergieverbrauch im Personenverkehr,99.255
2015,2005 = 100,Endenergieverbrauch im Personenverkehr,100.0
2016,2005 = 100,Endenergieverbrauch im Personenverkehr,100.966
2017,2005 = 100,Endenergieverbrauch im Personenverkehr,101.473
2018,2005 = 100,Endenergieverbrauch im Personenverkehr,101.33
2019,2005 = 100,Endenergieverbrauch im Personenverkehr,101.917
2020,2005 = 100,Endenergieverbrauch im Personenverkehr,85.72
2021,2005 = 100,Endenergieverbrauch im Personenverkehr,86.182
2022,2005 = 100,Endenergieverbrauch im Personenverkehr,87.225
2023,2005 = 100,Endenergieverbrauch im Personenverkehr,87.826
2030,2005 = 100,Endenergieverbrauch im Personenverkehr,
2005,2005 = 100,Personenbeförderungsleistung,95.277
2006,2005 = 100,Personenbeförderungsleistung,96.371
2007,2005 = 100,Personenbeförderungsleistung,96.697
2008,2005 = 100,Personenbeförderungsleistung,97.485
2009,2005 = 100,Personenbeförderungsleistung,97.403
2010,2005 = 100,Personenbeförderungsleistung,97.887
2011,2005 = 100,Personenbeförderungsleistung,98.428
2012,2005 = 100,Personenbeförderungsleistung,99.017
2013,2005 = 100,Personenbeförderungsleistung,99.047
2014,2005 = 100,Personenbeförderungsleistung,99.333
2015,2005 = 100,Personenbeförderungsleistung,100.0
2016,2005 = 100,Personenbeförderungsleistung,100.939
2017,2005 = 100,Personenbeförderungsleistung,101.245
2018,2005 = 100,Personenbeförderungsleistung,101.396
2019,2005 = 100,Personenbeförderungsleistung,101.952
2020,2005 = 100,Personenbeförderungsleistung,80.107
2021,2005 = 100,Personenbeförderungsleistung,80.932
2022,2005 = 100,Personenbeförderungsleistung,87.346
2023,2005 = 100,Personenbeförderungsleistung,90.09
2030,2005 = 100,Personenbeförderungsleistung,
2005,2005 = 100,Energieverbrauch je Personenkilometer,103.815
2006,2005 = 100,Energieverbrauch je Personenkilometer,101.863
2007,2005 = 100,Energieverbrauch je Personenkilometer,101.63
2008,2005 = 100,Energieverbrauch je Personenkilometer,99.702
2009,2005 = 100,Energieverbrauch je Personenkilometer,100.954
2010,2005 = 100,Energieverbrauch je Personenkilometer,100.367
2011,2005 = 100,Energieverbrauch je Personenkilometer,100.554
2012,2005 = 100,Energieverbrauch je Personenkilometer,99.275
2013,2005 = 100,Energieverbrauch je Personenkilometer,99.181
2014,2005 = 100,Energieverbrauch je Personenkilometer,99.922
2015,2005 = 100,Energieverbrauch je Personenkilometer,100.0
2016,2005 = 100,Energieverbrauch je Personenkilometer,100.026
2017,2005 = 100,Energieverbrauch je Personenkilometer,100.225
2018,2005 = 100,Energieverbrauch je Personenkilometer,99.935
2019,2005 = 100,Energieverbrauch je Personenkilometer,99.966
2020,2005 = 100,Energieverbrauch je Personenkilometer,107.008
2021,2005 = 100,Energieverbrauch je Personenkilometer,106.486
2022,2005 = 100,Energieverbrauch je Personenkilometer,99.861
2023,2005 = 100,Energieverbrauch je Personenkilometer,97.487
2030,2005 = 100,Energieverbrauch je Personenkilometer,
