Year,Units,Zeitreihe,Value
2012,,a) Corruption Perceptions Index in Deutschland,79.0
2013,,a) Corruption Perceptions Index in Deutschland,78.0
2014,,a) Corruption Perceptions Index in Deutschland,79.0
2015,,a) Corruption Perceptions Index in Deutschland,81.0
2016,,a) Corruption Perceptions Index in Deutschland,81.0
2017,,a) Corruption Perceptions Index in Deutschland,81.0
2018,,a) Corruption Perceptions Index in Deutschland,80.0
2019,,a) Corruption Perceptions Index in Deutschland,80.0
2020,,a) Corruption Perceptions Index in Deutschland,80.0
2021,,a) Corruption Perceptions Index in Deutschland,80.0
2022,,a) Corruption Perceptions Index in Deutschland,79.0
2023,,a) Corruption Perceptions Index in Deutschland,78.0
2024,,a) Corruption Perceptions Index in Deutschland,75.0
2012,,b) corruption perceptions index in partner countries for german development cooperation,
2013,,b) corruption perceptions index in partner countries for german development cooperation,16.0
2014,,b) corruption perceptions index in partner countries for german development cooperation,30.0
2015,,b) corruption perceptions index in partner countries for german development cooperation,30.0
2016,,b) corruption perceptions index in partner countries for german development cooperation,31.0
2017,,b) corruption perceptions index in partner countries for german development cooperation,32.0
2018,,b) corruption perceptions index in partner countries for german development cooperation,31.0
2019,,b) corruption perceptions index in partner countries for german development cooperation,34.0
2020,,b) corruption perceptions index in partner countries for german development cooperation,36.0
2021,,b) corruption perceptions index in partner countries for german development cooperation,36.0
2022,,b) corruption perceptions index in partner countries for german development cooperation,30.0
2023,,b) corruption perceptions index in partner countries for german development cooperation,34.0
2024,,b) corruption perceptions index in partner countries for german development cooperation,32.0
