Year,Units,Zeitreihe,Value
2005,2005 = 100,Endenergieverbrauch durch Güterbeförderung,97.866
2006,2005 = 100,Endenergieverbrauch durch Güterbeförderung,102.156
2007,2005 = 100,Endenergieverbrauch durch Güterbeförderung,104.867
2008,2005 = 100,Endenergieverbrauch durch Güterbeförderung,102.831
2009,2005 = 100,Endenergieverbrauch durch Güterbeförderung,93.169
2010,2005 = 100,Endenergieverbrauch durch Güterbeförderung,96.552
2011,2005 = 100,Endenergieverbrauch durch Güterbeförderung,98.076
2012,2005 = 100,Endenergieverbrauch durch Güterbeförderung,96.176
2013,2005 = 100,Endenergieverbrauch durch Güterbeförderung,97.134
2014,2005 = 100,Endenergieverbrauch durch Güterbeförderung,98.625
2015,2005 = 100,Endenergieverbrauch durch Güterbeförderung,100.0
2016,2005 = 100,Endenergieverbrauch durch Güterbeförderung,101.967
2017,2005 = 100,Endenergieverbrauch durch Güterbeförderung,104.316
2018,2005 = 100,Endenergieverbrauch durch Güterbeförderung,105.874
2019,2005 = 100,Endenergieverbrauch durch Güterbeförderung,104.778
2020,2005 = 100,Endenergieverbrauch durch Güterbeförderung,101.82
2021,2005 = 100,Endenergieverbrauch durch Güterbeförderung,104.202
2022,2005 = 100,Endenergieverbrauch durch Güterbeförderung,102.074
2023,2005 = 100,Endenergieverbrauch durch Güterbeförderung,98.675
2030,2005 = 100,Endenergieverbrauch durch Güterbeförderung,
2005,2005 = 100,Güterbeförderungsleistung,100.0
2006,2005 = 100,Güterbeförderungsleistung,107.457
2007,2005 = 100,Güterbeförderungsleistung,112.232
2008,2005 = 100,Güterbeförderungsleistung,112.914
2009,2005 = 100,Güterbeförderungsleistung,100.475
2010,2005 = 100,Güterbeförderungsleistung,108.179
2011,2005 = 100,Güterbeförderungsleistung,108.284
2012,2005 = 100,Güterbeförderungsleistung,106.515
2013,2005 = 100,Güterbeförderungsleistung,109.191
2014,2005 = 100,Güterbeförderungsleistung,111.07
2015,2005 = 100,Güterbeförderungsleistung,113.689
2016,2005 = 100,Güterbeförderungsleistung,118.247
2017,2005 = 100,Güterbeförderungsleistung,121.114
2018,2005 = 100,Güterbeförderungsleistung,121.413
2019,2005 = 100,Güterbeförderungsleistung,122.005
2020,2005 = 100,Güterbeförderungsleistung,117.416
2021,2005 = 100,Güterbeförderungsleistung,123.27
2022,2005 = 100,Güterbeförderungsleistung,122.665
2023,2005 = 100,Güterbeförderungsleistung,116.618
2030,2005 = 100,Güterbeförderungsleistung,
2005,2005 = 100,Energieverbrauch je Tonnenkilometer,111.263
2006,2005 = 100,Energieverbrauch je Tonnenkilometer,108.08
2007,2005 = 100,Energieverbrauch je Tonnenkilometer,106.228
2008,2005 = 100,Energieverbrauch je Tonnenkilometer,103.537
2009,2005 = 100,Energieverbrauch je Tonnenkilometer,105.422
2010,2005 = 100,Energieverbrauch je Tonnenkilometer,101.469
2011,2005 = 100,Energieverbrauch je Tonnenkilometer,102.971
2012,2005 = 100,Energieverbrauch je Tonnenkilometer,102.654
2013,2005 = 100,Energieverbrauch je Tonnenkilometer,101.135
2014,2005 = 100,Energieverbrauch je Tonnenkilometer,100.95
2015,2005 = 100,Energieverbrauch je Tonnenkilometer,100.0
2016,2005 = 100,Energieverbrauch je Tonnenkilometer,98.037
2017,2005 = 100,Energieverbrauch je Tonnenkilometer,97.921
2018,2005 = 100,Energieverbrauch je Tonnenkilometer,99.138
2019,2005 = 100,Energieverbrauch je Tonnenkilometer,97.636
2020,2005 = 100,Energieverbrauch je Tonnenkilometer,98.588
2021,2005 = 100,Energieverbrauch je Tonnenkilometer,96.103
2022,2005 = 100,Energieverbrauch je Tonnenkilometer,94.604
2023,2005 = 100,Energieverbrauch je Tonnenkilometer,94.144
2030,2005 = 100,Energieverbrauch je Tonnenkilometer,
