Year,Units,Zeitreihe,Value
2012,Millionen,Mit einem neuen oder hochwertigeren Zugang zur Trinkwasserversorgung oder Anschluss zur Sanitärversorgung,10.6
2013,Millionen,Mit einem neuen oder hochwertigeren Zugang zur Trinkwasserversorgung oder Anschluss zur Sanitärversorgung,11.6
2014,Millionen,Mit einem neuen oder hochwertigeren Zugang zur Trinkwasserversorgung oder Anschluss zur Sanitärversorgung,31.0
2015,Millionen,Mit einem neuen oder hochwertigeren Zugang zur Trinkwasserversorgung oder Anschluss zur Sanitärversorgung,11.0
2016,Millionen,Mit einem neuen oder hochwertigeren Zugang zur Trinkwasserversorgung oder Anschluss zur Sanitärversorgung,14.3
2017,Millionen,Mit einem neuen oder hochwertigeren Zugang zur Trinkwasserversorgung oder Anschluss zur Sanitärversorgung,28.6
2018,Millionen,Mit einem neuen oder hochwertigeren Zugang zur Trinkwasserversorgung oder Anschluss zur Sanitärversorgung,60.3
2019,Millionen,Mit einem neuen oder hochwertigeren Zugang zur Trinkwasserversorgung oder Anschluss zur Sanitärversorgung,
2020,Millionen,Mit einem neuen oder hochwertigeren Zugang zur Trinkwasserversorgung oder Anschluss zur Sanitärversorgung,
2021,Millionen,Mit einem neuen oder hochwertigeren Zugang zur Trinkwasserversorgung oder Anschluss zur Sanitärversorgung,
2022,Millionen,Mit einem neuen oder hochwertigeren Zugang zur Trinkwasserversorgung oder Anschluss zur Sanitärversorgung,
2023,Millionen,Mit einem neuen oder hochwertigeren Zugang zur Trinkwasserversorgung oder Anschluss zur Sanitärversorgung,
2012,Millionen,a) with access to new or improved drinking water supply,
2013,Millionen,a) with access to new or improved drinking water supply,
2014,Millionen,a) with access to new or improved drinking water supply,
2015,Millionen,a) with access to new or improved drinking water supply,
2016,Millionen,a) with access to new or improved drinking water supply,
2017,Millionen,a) with access to new or improved drinking water supply,
2018,Millionen,a) with access to new or improved drinking water supply,
2019,Millionen,a) with access to new or improved drinking water supply,14.3
2020,Millionen,a) with access to new or improved drinking water supply,10.9
2021,Millionen,a) with access to new or improved drinking water supply,9.3
2022,Millionen,a) with access to new or improved drinking water supply,14.8
2023,Millionen,a) with access to new or improved drinking water supply,10.2
2012,Millionen,b) with access to new or improved basic sanitation or wastewater treatment,
2013,Millionen,b) with access to new or improved basic sanitation or wastewater treatment,
2014,Millionen,b) with access to new or improved basic sanitation or wastewater treatment,
2015,Millionen,b) with access to new or improved basic sanitation or wastewater treatment,
2016,Millionen,b) with access to new or improved basic sanitation or wastewater treatment,
2017,Millionen,b) with access to new or improved basic sanitation or wastewater treatment,
2018,Millionen,b) with access to new or improved basic sanitation or wastewater treatment,
2019,Millionen,b) with access to new or improved basic sanitation or wastewater treatment,6.1
2020,Millionen,b) with access to new or improved basic sanitation or wastewater treatment,1.8
2021,Millionen,b) with access to new or improved basic sanitation or wastewater treatment,3.0
2022,Millionen,b) with access to new or improved basic sanitation or wastewater treatment,6.3
2023,Millionen,b) with access to new or improved basic sanitation or wastewater treatment,3.0
