Year,Value,Units,Series
1994,116.6,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das letzte Jahr
1995,111.0,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das letzte Jahr
1996,109.1,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das letzte Jahr
1997,107.5,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das letzte Jahr
1998,107.8,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das letzte Jahr
1999,108.7,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das letzte Jahr
2000,109.1,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das letzte Jahr
2001,107.9,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das letzte Jahr
2002,108.3,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das letzte Jahr
2003,107.8,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das letzte Jahr
2004,105.1,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das letzte Jahr
2005,102.5,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das letzte Jahr
2006,103.3,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das letzte Jahr
2007,102.2,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das letzte Jahr
2008,101.8,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das letzte Jahr
2009,99.1,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das letzte Jahr
2010,96.6,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das letzte Jahr
2011,96.8,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das letzte Jahr
2012,94.9,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das letzte Jahr
2013,93.0,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das letzte Jahr
2014,93.2,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das letzte Jahr
2015,95.6,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das letzte Jahr
2016,94.0,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das letzte Jahr
2017,93.8,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das letzte Jahr
2018,92.7,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das letzte Jahr
2019,91.5,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das letzte Jahr
2020,87.0,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das letzte Jahr
2030,,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das letzte Jahr
1990,141.5,Kilogramm pro Hektar,Berechnete jährliche Werte
1991,117.1,Kilogramm pro Hektar,Berechnete jährliche Werte
1992,111.9,Kilogramm pro Hektar,Berechnete jährliche Werte
1993,106.3,Kilogramm pro Hektar,Berechnete jährliche Werte
1994,106.3,Kilogramm pro Hektar,Berechnete jährliche Werte
1995,113.2,Kilogramm pro Hektar,Berechnete jährliche Werte
1996,107.7,Kilogramm pro Hektar,Berechnete jährliche Werte
1997,104.0,Kilogramm pro Hektar,Berechnete jährliche Werte
1998,107.8,Kilogramm pro Hektar,Berechnete jährliche Werte
1999,111.0,Kilogramm pro Hektar,Berechnete jährliche Werte
2000,115.3,Kilogramm pro Hektar,Berechnete jährliche Werte
2001,101.7,Kilogramm pro Hektar,Berechnete jährliche Werte
2002,105.8,Kilogramm pro Hektar,Berechnete jährliche Werte
2003,105.4,Kilogramm pro Hektar,Berechnete jährliche Werte
2004,97.3,Kilogramm pro Hektar,Berechnete jährliche Werte
2005,102.4,Kilogramm pro Hektar,Berechnete jährliche Werte
2006,105.7,Kilogramm pro Hektar,Berechnete jährliche Werte
2007,100.4,Kilogramm pro Hektar,Berechnete jährliche Werte
2008,103.2,Kilogramm pro Hektar,Berechnete jährliche Werte
2009,83.7,Kilogramm pro Hektar,Berechnete jährliche Werte
2010,90.3,Kilogramm pro Hektar,Berechnete jährliche Werte
2011,106.2,Kilogramm pro Hektar,Berechnete jährliche Werte
2012,91.0,Kilogramm pro Hektar,Berechnete jährliche Werte
2013,93.6,Kilogramm pro Hektar,Berechnete jährliche Werte
2014,84.8,Kilogramm pro Hektar,Berechnete jährliche Werte
2015,102.1,Kilogramm pro Hektar,Berechnete jährliche Werte
2016,98.5,Kilogramm pro Hektar,Berechnete jährliche Werte
2017,90.0,Kilogramm pro Hektar,Berechnete jährliche Werte
2018,87.9,Kilogramm pro Hektar,Berechnete jährliche Werte
2019,78.7,Kilogramm pro Hektar,Berechnete jährliche Werte
2020,79.7,Kilogramm pro Hektar,Berechnete jährliche Werte
2030,,Kilogramm pro Hektar,Berechnete jährliche Werte
