Year,Value,Units,GeoCode
1999,33.05,Prozent,
2010,41.3,Prozent,
2011,42.2,Prozent,
2012,43.4,Prozent,
2013,44.5,Prozent,
2014,45.7,Prozent,
2015,46.8,Prozent,
2016,47.9,Prozent,
2017,48.8,Prozent,
2018,49.4,Prozent,
2019,50.1,Prozent,
2020,52.3,Prozent,
2021,53.1,Prozent,
2022,53.7,Prozent,
2000,32.997,Prozent,
2001,33.171,Prozent,
2002,33.277,Prozent,
2003,33.892,Prozent,
2004,36.22,Prozent,
2005,36.0,Prozent,
2006,36.5,Prozent,
2007,37.6,Prozent,
2008,38.8,Prozent,
2009,40.7,Prozent,
2030,,Prozent,
