Indicator,Disaggregations,Number of disaggregations
#1-1-ab,"COMMENT_OBS_0, time series, sex, area",4
#10-1,"sex, federal state",2
#10-2,"COMMENT_OBS_0, time series, area",3
#11-1-a,"time series, federal state, type of area",3
#11-1-c,"federal state, degree of urbanisation",2
#11-2-a,time series,1
#11-2-b,time series,1
#11-2-c,"time series, federal state",2
#11-3-a,sex,1
#12-1-b,time series,1
#12-2-a,federal state,1
#13-1-a,federal state,1
#14-1-a,time series,1
#14-1-b,"time series, sea",2
#15-1,time series,1
#15-4,sector,1
#16-2,"sex, display",2
#16-4,level of compliance,1
#17-2,"time series, federal state",2
#17-3,time series,1
#2-1-a,time series,1
#2-1-b,"COMMENT_OBS_0, federal state",2
#2-2,COMMENT_OBS_0,1
#3-1-a,"COMMENT_OBS_0, sex, type of treatment",3
#3-1-cd,"COMMENT_OBS_0, time series, sex, federal state",4
#3-1-e,"time series, sex, age group",3
#3-1-f,"COMMENT_OBS_0, sex, federal state, age group",4
#3-2-a,"COMMENT_OBS_0, air pollutant",2
#3-3,time series,1
#4-1-a,"COMMENT_OBS_0, sex, federal state",3
#4-1-b,"COMMENT_OBS_0, time series, sex, federal state, qualification",5
#4-2-ab,"federal state, type of care",2
#4-3-a,sex,1
#4-3-b,"COMMENT_OBS_0, risk situation",2
#5-1-a,"COMMENT_OBS_0, federal state",2
#5-1-bc,"COMMENT_OBS_0, time series",2
#5-1-d,"COMMENT_OBS_0, federal state",2
#5-1-e,"COMMENT_OBS_0, time series",2
#6-1-a,COMMENT_OBS_0,1
#6-1-b,"COMMENT_OBS_0, federal state",2
#6-2-ab,"COMMENT_OBS_0, time series",2
#7-1-ab,"COMMENT_OBS_0, federal state",2
#7-2-a,"COMMENT_OBS_0, federal state, COMMENT_OBS_1",3
#7-2-b,"COMMENT_OBS_0, federal state",2
#8-1,"COMMENT_OBS_0, time series",2
#8-2-ab,"COMMENT_OBS_0, time series, federal state, COMMENT_OBS_1",4
#8-2-c,"COMMENT_OBS_0, federal state, COMMENT_OBS_1",3
#8-3,"COMMENT_OBS_0, federal state, COMMENT_OBS_1",3
#8-4,"COMMENT_OBS_0, federal state",2
#8-5-ab,"COMMENT_OBS_0, sex, federal state",3
#8-5-c,type of collective bargaining agreement,1
#9-1-a,"COMMENT_OBS_0, federal state, sector",3
#9-1-b,"time series, federal state",2
