Indicator,Disaggregation combinations using this value
#10-1,3
#10-2,2
#11-1-a,36
#11-1-c,36
#11-2-a,3
#11-2-b,3
#11-3-a,1
#12-1-a,1
#12-2-a,3
#12-3-abc,3
#12-4,1
#13-1-a,7
#13-1-b,1
#14-1-a,1
#14-1-b,2
#15-1,6
#15-2,1
#16-2,1
#16-4,4
#17-1,1
#17-2,84
#17-3,2
#2-1-a,2
#2-1-b,2
#3-1-a,1
#3-1-cd,4
#3-2-a,1
#3-2-b,1
#3-3,2
#4-1-a,1
#4-1-b,2
#4-1-c,1
#4-2-ab,2
#4-3-a,1
#5-1-a,16
#5-1-bc,2
#5-1-d,18
#5-1-f,1
#5-1-g,1
#6-1-a,1
#6-1-b,13
#7-1-ab,31
#7-2-a,1
#7-2-b,14
#8-1,5
#8-2-ab,16
#8-2-c,16
#8-3,16
#8-5-ab,31
#9-1-a,33
