Year,Units,Series,Type of area,Federal state,GeoCode,Value
1996,Hectre per day,Moving four-year average,,,,120.0
1997,Hectre per day,Moving four-year average,,,,121.0
1998,Hectre per day,Moving four-year average,,,,124.0
1999,Hectre per day,Moving four-year average,,,,126.0
2000,Hectre per day,Moving four-year average,,,,129.0
2001,Hectre per day,Moving four-year average,,,,128.0
2002,Hectre per day,Moving four-year average,,,,123.0
2003,Hectre per day,Moving four-year average,,,,115.0
2004,Hectre per day,Moving four-year average,,,,115.0
2005,Hectre per day,Moving four-year average,,,,114.0
2006,Hectre per day,Moving four-year average,,,,113.0
2007,Hectre per day,Moving four-year average,,,,113.0
2008,Hectre per day,Moving four-year average,,,,104.0
2009,Hectre per day,Moving four-year average,,,,94.0
2010,Hectre per day,Moving four-year average,,,,87.0
2011,Hectre per day,Moving four-year average,,,,81.0
2012,Hectre per day,Moving four-year average,,,,74.0
2013,Hectre per day,Moving four-year average,,,,73.0
2014,Hectre per day,Moving four-year average,,,,69.0
2015,Hectre per day,Moving four-year average,,,,66.0
2016,Hectre per day,Moving four-year average,,,,62.0
2017,Hectre per day,Moving four-year average,,,,58.0
2018,Hectre per day,Moving four-year average,,,,56.0
2019,Hectre per day,Moving four-year average,,,,52.0
2020,Hectre per day,Moving four-year average,,,,54.0
2021,Hectre per day,Moving four-year average,,,,55.0
2022,Hectre per day,Moving four-year average,,,,52.0
2030,Hectre per day,Moving four-year average,,,,
1996,Hectre per day,Moving four-year average,Transport area,,,24.0
1997,Hectre per day,Moving four-year average,Transport area,,,21.0
1998,Hectre per day,Moving four-year average,Transport area,,,23.0
1999,Hectre per day,Moving four-year average,Transport area,,,23.0
2000,Hectre per day,Moving four-year average,Transport area,,,24.0
2001,Hectre per day,Moving four-year average,Transport area,,,23.0
2002,Hectre per day,Moving four-year average,Transport area,,,22.0
2003,Hectre per day,Moving four-year average,Transport area,,,20.0
2004,Hectre per day,Moving four-year average,Transport area,,,25.0
2005,Hectre per day,Moving four-year average,Transport area,,,25.0
2006,Hectre per day,Moving four-year average,Transport area,,,24.0
2007,Hectre per day,Moving four-year average,Transport area,,,24.0
2008,Hectre per day,Moving four-year average,Transport area,,,21.0
2009,Hectre per day,Moving four-year average,Transport area,,,18.0
2010,Hectre per day,Moving four-year average,Transport area,,,21.0
2011,Hectre per day,Moving four-year average,Transport area,,,17.0
2012,Hectre per day,Moving four-year average,Transport area,,,11.0
2013,Hectre per day,Moving four-year average,Transport area,,,19.0
2014,Hectre per day,Moving four-year average,Transport area,,,23.0
2015,Hectre per day,Moving four-year average,Transport area,,,10.0
2016,Hectre per day,Moving four-year average,Transport area,,,
2017,Hectre per day,Moving four-year average,Transport area,,,8.0
2018,Hectre per day,Moving four-year average,Transport area,,,16.0
2019,Hectre per day,Moving four-year average,Transport area,,,2.0
2020,Hectre per day,Moving four-year average,Transport area,,,6.0
2021,Hectre per day,Moving four-year average,Transport area,,,8.0
2022,Hectre per day,Moving four-year average,Transport area,,,-1.0
1996,Hectre per day,Moving four-year average,Settlement area (built on),,,87.0
1997,Hectre per day,Moving four-year average,Settlement area (built on),,,83.0
1998,Hectre per day,Moving four-year average,Settlement area (built on),,,87.0
1999,Hectre per day,Moving four-year average,Settlement area (built on),,,87.0
2000,Hectre per day,Moving four-year average,Settlement area (built on),,,87.0
2001,Hectre per day,Moving four-year average,Settlement area (built on),,,70.0
2002,Hectre per day,Moving four-year average,Settlement area (built on),,,66.0
2003,Hectre per day,Moving four-year average,Settlement area (built on),,,45.0
2004,Hectre per day,Moving four-year average,Settlement area (built on),,,60.0
2005,Hectre per day,Moving four-year average,Settlement area (built on),,,35.0
2006,Hectre per day,Moving four-year average,Settlement area (built on),,,30.0
2007,Hectre per day,Moving four-year average,Settlement area (built on),,,40.0
2008,Hectre per day,Moving four-year average,Settlement area (built on),,,35.0
2009,Hectre per day,Moving four-year average,Settlement area (built on),,,28.0
2010,Hectre per day,Moving four-year average,Settlement area (built on),,,33.0
2011,Hectre per day,Moving four-year average,Settlement area (built on),,,30.0
2012,Hectre per day,Moving four-year average,Settlement area (built on),,,40.0
2013,Hectre per day,Moving four-year average,Settlement area (built on),,,29.0
2014,Hectre per day,Moving four-year average,Settlement area (built on),,,22.0
2015,Hectre per day,Moving four-year average,Settlement area (built on),,,40.0
2016,Hectre per day,Moving four-year average,Settlement area (built on),,,
2017,Hectre per day,Moving four-year average,Settlement area (built on),,,32.0
2018,Hectre per day,Moving four-year average,Settlement area (built on),,,32.0
2019,Hectre per day,Moving four-year average,Settlement area (built on),,,33.0
2020,Hectre per day,Moving four-year average,Settlement area (built on),,,40.0
2021,Hectre per day,Moving four-year average,Settlement area (built on),,,39.0
2022,Hectre per day,Moving four-year average,Settlement area (built on),,,37.0
1996,Hectre per day,Moving four-year average,"Recreation area, cemetery",,,9.0
1997,Hectre per day,Moving four-year average,"Recreation area, cemetery",,,20.0
1998,Hectre per day,Moving four-year average,"Recreation area, cemetery",,,21.0
1999,Hectre per day,Moving four-year average,"Recreation area, cemetery",,,21.0
2000,Hectre per day,Moving four-year average,"Recreation area, cemetery",,,21.0
2001,Hectre per day,Moving four-year average,"Recreation area, cemetery",,,29.0
2002,Hectre per day,Moving four-year average,"Recreation area, cemetery",,,21.0
2003,Hectre per day,Moving four-year average,"Recreation area, cemetery",,,34.0
2004,Hectre per day,Moving four-year average,"Recreation area, cemetery",,,46.0
2005,Hectre per day,Moving four-year average,"Recreation area, cemetery",,,57.0
2006,Hectre per day,Moving four-year average,"Recreation area, cemetery",,,52.0
2007,Hectre per day,Moving four-year average,"Recreation area, cemetery",,,33.0
2008,Hectre per day,Moving four-year average,"Recreation area, cemetery",,,39.0
2009,Hectre per day,Moving four-year average,"Recreation area, cemetery",,,32.0
2010,Hectre per day,Moving four-year average,"Recreation area, cemetery",,,23.0
2011,Hectre per day,Moving four-year average,"Recreation area, cemetery",,,27.0
2012,Hectre per day,Moving four-year average,"Recreation area, cemetery",,,18.0
2013,Hectre per day,Moving four-year average,"Recreation area, cemetery",,,23.0
2014,Hectre per day,Moving four-year average,"Recreation area, cemetery",,,18.0
2015,Hectre per day,Moving four-year average,"Recreation area, cemetery",,,12.0
2016,Hectre per day,Moving four-year average,"Recreation area, cemetery",,,
2017,Hectre per day,Moving four-year average,"Recreation area, cemetery",,,15.0
2018,Hectre per day,Moving four-year average,"Recreation area, cemetery",,,10.0
2019,Hectre per day,Moving four-year average,"Recreation area, cemetery",,,10.0
2020,Hectre per day,Moving four-year average,"Recreation area, cemetery",,,12.0
2021,Hectre per day,Moving four-year average,"Recreation area, cemetery",,,11.0
2022,Hectre per day,Moving four-year average,"Recreation area, cemetery",,,12.0
1996,Hectre per day,Moving four-year average,,Baden-Wuerttemberg,code08,10.2
2000,Hectre per day,Moving four-year average,,Baden-Wuerttemberg,code08,12.0
2004,Hectre per day,Moving four-year average,,Baden-Wuerttemberg,code08,10.0
2005,Hectre per day,Moving four-year average,,Baden-Wuerttemberg,code08,10.0
2006,Hectre per day,Moving four-year average,,Baden-Wuerttemberg,code08,9.0
2007,Hectre per day,Moving four-year average,,Baden-Wuerttemberg,code08,9.0
