Year,Units,Time series,Value
2012,Number,a) Corruption Perceptions Index in Germany,79.0
2013,Number,a) Corruption Perceptions Index in Germany,78.0
2014,Number,a) Corruption Perceptions Index in Germany,79.0
2015,Number,a) Corruption Perceptions Index in Germany,81.0
2016,Number,a) Corruption Perceptions Index in Germany,81.0
2017,Number,a) Corruption Perceptions Index in Germany,81.0
2018,Number,a) Corruption Perceptions Index in Germany,80.0
2019,Number,a) Corruption Perceptions Index in Germany,80.0
2020,Number,a) Corruption Perceptions Index in Germany,80.0
2021,Number,a) Corruption Perceptions Index in Germany,80.0
2022,Number,a) Corruption Perceptions Index in Germany,79.0
2023,Number,a) Corruption Perceptions Index in Germany,78.0
2024,Number,a) Corruption Perceptions Index in Germany,75.0
2012,Number,b) Number of partner countries of German development cooperation whose CPI has improved,
2013,Number,b) Number of partner countries of German development cooperation whose CPI has improved,16.0
2014,Number,b) Number of partner countries of German development cooperation whose CPI has improved,30.0
2015,Number,b) Number of partner countries of German development cooperation whose CPI has improved,30.0
2016,Number,b) Number of partner countries of German development cooperation whose CPI has improved,31.0
2017,Number,b) Number of partner countries of German development cooperation whose CPI has improved,32.0
2018,Number,b) Number of partner countries of German development cooperation whose CPI has improved,31.0
2019,Number,b) Number of partner countries of German development cooperation whose CPI has improved,34.0
2020,Number,b) Number of partner countries of German development cooperation whose CPI has improved,36.0
2021,Number,b) Number of partner countries of German development cooperation whose CPI has improved,36.0
2022,Number,b) Number of partner countries of German development cooperation whose CPI has improved,30.0
2023,Number,b) Number of partner countries of German development cooperation whose CPI has improved,34.0
2024,Number,b) Number of partner countries of German development cooperation whose CPI has improved,32.0
