Year,Units,Time series,Value
2012,,a) Corruption Perceptions Index in Germany,79.0
2013,,a) Corruption Perceptions Index in Germany,78.0
2014,,a) Corruption Perceptions Index in Germany,79.0
2015,,a) Corruption Perceptions Index in Germany,81.0
2016,,a) Corruption Perceptions Index in Germany,81.0
2017,,a) Corruption Perceptions Index in Germany,81.0
2018,,a) Corruption Perceptions Index in Germany,80.0
2019,,a) Corruption Perceptions Index in Germany,80.0
2020,,a) Corruption Perceptions Index in Germany,80.0
2021,,a) Corruption Perceptions Index in Germany,80.0
2022,,a) Corruption Perceptions Index in Germany,79.0
2023,,a) Corruption Perceptions Index in Germany,78.0
2024,,a) Corruption Perceptions Index in Germany,75.0
2012,,b) Corruption Perceptions Index in partner countries for German development cooperation,
2013,,b) Corruption Perceptions Index in partner countries for German development cooperation,16.0
2014,,b) Corruption Perceptions Index in partner countries for German development cooperation,30.0
2015,,b) Corruption Perceptions Index in partner countries for German development cooperation,30.0
2016,,b) Corruption Perceptions Index in partner countries for German development cooperation,31.0
2017,,b) Corruption Perceptions Index in partner countries for German development cooperation,32.0
2018,,b) Corruption Perceptions Index in partner countries for German development cooperation,31.0
2019,,b) Corruption Perceptions Index in partner countries for German development cooperation,34.0
2020,,b) Corruption Perceptions Index in partner countries for German development cooperation,36.0
2021,,b) Corruption Perceptions Index in partner countries for German development cooperation,36.0
2022,,b) Corruption Perceptions Index in partner countries for German development cooperation,30.0
2023,,b) Corruption Perceptions Index in partner countries for German development cooperation,34.0
2024,,b) Corruption Perceptions Index in partner countries for German development cooperation,32.0
