Year,Units,Time series,Qualification,Sex,Federal state,GeoCode,Value
1999,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,,,,33.351
2010,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,,,,41.37
2011,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,,,,42.263
2012,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,,,,43.464
2013,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,,,,44.518
2014,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,,,,45.734
2015,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,,,,46.77
2016,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,,,,47.879
2017,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,,,,48.835
2018,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,,,,49.833
2019,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,,,,50.488
2020,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,,,,52.285
2021,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,,,,53.642
2022,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,,,,53.547
2023,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,,,,55.339
2024,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,,,,57.329
2000,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,,,,32.997
2001,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,,,,33.172
2002,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,,,,33.277
2003,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,,,,33.948
2004,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,,,,36.221
2005,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,,,,36.0
2006,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,,,,36.504
2007,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,,,,37.638
2008,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,,,,38.866
2009,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,,,,40.802
2030,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,,,,
1999,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Female,,,31.358
2010,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Female,,,42.746
2011,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Female,,,44.361
2012,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Female,,,45.984
2013,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Female,,,46.843
2014,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Female,,,48.374
2015,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Female,,,50.521
2016,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Female,,,51.295
2017,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Female,,,52.64
2018,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Female,,,53.827
2019,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Female,,,54.411
2020,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Female,,,56.549
2021,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Female,,,57.49
2022,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Female,,,57.537
2023,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Female,,,59.403
2024,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Female,,,61.581
2000,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Female,,,30.88
2001,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Female,,,31.088
2002,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Female,,,31.291
2003,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Female,,,32.233
2004,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Female,,,34.654
2005,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Female,,,34.992
2006,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Female,,,36.482
2007,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Female,,,38.032
2008,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Female,,,39.689
2009,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Female,,,42.199
1999,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Male,,,35.172
2010,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Male,,,40.016
2011,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Male,,,40.109
2012,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Male,,,40.903
2013,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Male,,,42.229
2014,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Male,,,42.906
2015,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Male,,,43.109
2016,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Male,,,44.574
2017,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Male,,,45.188
2018,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Male,,,46.02
2019,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Male,,,46.764
2020,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Male,,,48.219
2021,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Male,,,50.008
2022,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Male,,,49.754
2023,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Male,,,51.478
2024,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Male,,,53.318
2000,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Male,,,35.042
2001,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Male,,,35.23
2002,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Male,,,35.233
2003,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Male,,,35.467
2004,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Male,,,37.722
2005,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Male,,,36.975
2006,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Male,,,36.526
2007,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Male,,,37.256
2008,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Male,,,37.854
2009,Percentage,<u>Time series of the indicator:</u> Academically qualified and professionally highly qualified persons,,Male,,,39.223
2010,Percentage,,,,Baden-Wuerttemberg,code08,42.275
2011,Percentage,,,,Baden-Wuerttemberg,code08,43.361
2012,Percentage,,,,Baden-Wuerttemberg,code08,44.923
2013,Percentage,,,,Baden-Wuerttemberg,code08,47.288
2014,Percentage,,,,Baden-Wuerttemberg,code08,47.346
2015,Percentage,,,,Baden-Wuerttemberg,code08,48.374
2016,Percentage,,,,Baden-Wuerttemberg,code08,50.185
2017,Percentage,,,,Baden-Wuerttemberg,code08,50.534
2018,Percentage,,,,Baden-Wuerttemberg,code08,51.293
2019,Percentage,,,,Baden-Wuerttemberg,code08,53.689
2020,Percentage,,,,Baden-Wuerttemberg,code08,53.97
2021,Percentage,,,,Baden-Wuerttemberg,code08,54.924
2022,Percentage,,,,Baden-Wuerttemberg,code08,55.408
2023,Percentage,,,,Baden-Wuerttemberg,code08,57.61
2005,Percentage,,,,Baden-Wuerttemberg,code08,36.883
2006,Percentage,,,,Baden-Wuerttemberg,code08,36.866
2007,Percentage,,,,Baden-Wuerttemberg,code08,37.592
2008,Percentage,,,,Baden-Wuerttemberg,code08,37.838
2009,Percentage,,,,Baden-Wuerttemberg,code08,41.901
2010,Percentage,,,Female,Baden-Wuerttemberg,code08,40.693
2011,Percentage,,,Female,Baden-Wuerttemberg,code08,41.862
2012,Percentage,,,Female,Baden-Wuerttemberg,code08,44.431
2013,Percentage,,,Female,Baden-Wuerttemberg,code08,46.144
2014,Percentage,,,Female,Baden-Wuerttemberg,code08,48.068
2015,Percentage,,,Female,Baden-Wuerttemberg,code08,49.588
2016,Percentage,,,Female,Baden-Wuerttemberg,code08,50.933
2017,Percentage,,,Female,Baden-Wuerttemberg,code08,51.385
2018,Percentage,,,Female,Baden-Wuerttemberg,code08,52.186
2019,Percentage,,,Female,Baden-Wuerttemberg,code08,56.364
2020,Percentage,,,Female,Baden-Wuerttemberg,code08,56.993
2021,Percentage,,,Female,Baden-Wuerttemberg,code08,58.152
2022,Percentage,,,Female,Baden-Wuerttemberg,code08,58.323
2023,Percentage,,,Female,Baden-Wuerttemberg,code08,60.612
2005,Percentage,,,Female,Baden-Wuerttemberg,code08,33.109
2006,Percentage,,,Female,Baden-Wuerttemberg,code08,34.227
2007,Percentage,,,Female,Baden-Wuerttemberg,code08,35.694
2008,Percentage,,,Female,Baden-Wuerttemberg,code08,36.015
2009,Percentage,,,Female,Baden-Wuerttemberg,code08,41.037
2010,Percentage,,,Male,Baden-Wuerttemberg,code08,43.877
2011,Percentage,,,Male,Baden-Wuerttemberg,code08,44.857
2012,Percentage,,,Male,Baden-Wuerttemberg,code08,45.413
2013,Percentage,,,Male,Baden-Wuerttemberg,code08,48.428
2014,Percentage,,,Male,Baden-Wuerttemberg,code08,46.645
2015,Percentage,,,Male,Baden-Wuerttemberg,code08,47.207
2016,Percentage,,,Male,Baden-Wuerttemberg,code08,49.479
2017,Percentage,,,Male,Baden-Wuerttemberg,code08,49.718
2018,Percentage,,,Male,Baden-Wuerttemberg,code08,50.463
2019,Percentage,,,Male,Baden-Wuerttemberg,code08,51.236
2020,Percentage,,,Male,Baden-Wuerttemberg,code08,51.226
2021,Percentage,,,Male,Baden-Wuerttemberg,code08,52.019
2022,Percentage,,,Male,Baden-Wuerttemberg,code08,52.739
2023,Percentage,,,Male,Baden-Wuerttemberg,code08,54.825
2005,Percentage,,,Male,Baden-Wuerttemberg,code08,40.459
2006,Percentage,,,Male,Baden-Wuerttemberg,code08,39.43
2007,Percentage,,,Male,Baden-Wuerttemberg,code08,39.471
2008,Percentage,,,Male,Baden-Wuerttemberg,code08,39.693
2009,Percentage,,,Male,Baden-Wuerttemberg,code08,42.792
2010,Percentage,,,,Bavaria,code09,40.387
2011,Percentage,,,,Bavaria,code09,41.098
2012,Percentage,,,,Bavaria,code09,43.579
2013,Percentage,,,,Bavaria,code09,45.314
2014,Percentage,,,,Bavaria,code09,45.821
2015,Percentage,,,,Bavaria,code09,45.682
2016,Percentage,,,,Bavaria,code09,48.009
2017,Percentage,,,,Bavaria,code09,48.604
2018,Percentage,,,,Bavaria,code09,49.827
2019,Percentage,,,,Bavaria,code09,49.32
2020,Percentage,,,,Bavaria,code09,51.069
2021,Percentage,,,,Bavaria,code09,54.096
2022,Percentage,,,,Bavaria,code09,52.735
2023,Percentage,,,,Bavaria,code09,56.237
2005,Percentage,,,,Bavaria,code09,35.151
2006,Percentage,,,,Bavaria,code09,34.678
2007,Percentage,,,,Bavaria,code09,35.837
2008,Percentage,,,,Bavaria,code09,37.516
2009,Percentage,,,,Bavaria,code09,39.422
2010,Percentage,,,Female,Bavaria,code09,40.153
2011,Percentage,,,Female,Bavaria,code09,41.562
2012,Percentage,,,Female,Bavaria,code09,44.785
2013,Percentage,,,Female,Bavaria,code09,45.332
2014,Percentage,,,Female,Bavaria,code09,46.105
2015,Percentage,,,Female,Bavaria,code09,47.412
2016,Percentage,,,Female,Bavaria,code09,49.515
2017,Percentage,,,Female,Bavaria,code09,50.679
2018,Percentage,,,Female,Bavaria,code09,52.125
2019,Percentage,,,Female,Bavaria,code09,50.639
2020,Percentage,,,Female,Bavaria,code09,52.607
2021,Percentage,,,Female,Bavaria,code09,56.22
2022,Percentage,,,Female,Bavaria,code09,55.121
2023,Percentage,,,Female,Bavaria,code09,58.126
2005,Percentage,,,Female,Bavaria,code09,32.879
2006,Percentage,,,Female,Bavaria,code09,33.134
2007,Percentage,,,Female,Bavaria,code09,34.766
2008,Percentage,,,Female,Bavaria,code09,36.77
2009,Percentage,,,Female,Bavaria,code09,38.524
2010,Percentage,,,Male,Bavaria,code09,40.614
2011,Percentage,,,Male,Bavaria,code09,40.654
2012,Percentage,,,Male,Bavaria,code09,42.36
2013,Percentage,,,Male,Bavaria,code09,45.291
2014,Percentage,,,Male,Bavaria,code09,45.527
2015,Percentage,,,Male,Bavaria,code09,43.947
2016,Percentage,,,Male,Bavaria,code09,46.553
2017,Percentage,,,Male,Bavaria,code09,46.68
2018,Percentage,,,Male,Bavaria,code09,47.731
2019,Percentage,,,Male,Bavaria,code09,48.066
2020,Percentage,,,Male,Bavaria,code09,49.638
2021,Percentage,,,Male,Bavaria,code09,52.173
2022,Percentage,,,Male,Bavaria,code09,50.487
2023,Percentage,,,Male,Bavaria,code09,54.471
2005,Percentage,,,Male,Bavaria,code09,37.367
2006,Percentage,,,Male,Bavaria,code09,36.229
2007,Percentage,,,Male,Bavaria,code09,36.854
2008,Percentage,,,Male,Bavaria,code09,38.268
2009,Percentage,,,Male,Bavaria,code09,40.279
2010,Percentage,,,,Berlin,code11,50.741
2011,Percentage,,,,Berlin,code11,51.842
2012,Percentage,,,,Berlin,code11,53.682
2013,Percentage,,,,Berlin,code11,53.226
2014,Percentage,,,,Berlin,code11,53.955
2015,Percentage,,,,Berlin,code11,56.682
2016,Percentage,,,,Berlin,code11,59.716
2017,Percentage,,,,Berlin,code11,60.877
2018,Percentage,,,,Berlin,code11,62.555
2019,Percentage,,,,Berlin,code11,64.708
2020,Percentage,,,,Berlin,code11,65.78
2021,Percentage,,,,Berlin,code11,68.733
2022,Percentage,,,,Berlin,code11,70.316
2023,Percentage,,,,Berlin,code11,70.194
2005,Percentage,,,,Berlin,code11,46.171
2006,Percentage,,,,Berlin,code11,46.613
2007,Percentage,,,,Berlin,code11,49.178
2008,Percentage,,,,Berlin,code11,47.103
2009,Percentage,,,,Berlin,code11,50.363
2010,Percentage,,,Female,Berlin,code11,55.98
2011,Percentage,,,Female,Berlin,code11,59.257
2012,Percentage,,,Female,Berlin,code11,60.203
2013,Percentage,,,Female,Berlin,code11,59.132
2014,Percentage,,,Female,Berlin,code11,59.84
2015,Percentage,,,Female,Berlin,code11,63.74
2016,Percentage,,,Female,Berlin,code11,63.622
2017,Percentage,,,Female,Berlin,code11,66.054
2018,Percentage,,,Female,Berlin,code11,66.938
2019,Percentage,,,Female,Berlin,code11,69.033
2020,Percentage,,,Female,Berlin,code11,70.086
2021,Percentage,,,Female,Berlin,code11,71.8
2022,Percentage,,,Female,Berlin,code11,73.897
2023,Percentage,,,Female,Berlin,code11,73.012
2005,Percentage,,,Female,Berlin,code11,47.091
2006,Percentage,,,Female,Berlin,code11,50.091
2007,Percentage,,,Female,Berlin,code11,53.045
2008,Percentage,,,Female,Berlin,code11,49.895
2009,Percentage,,,Female,Berlin,code11,56.248
2010,Percentage,,,Male,Berlin,code11,45.795
2011,Percentage,,,Male,Berlin,code11,44.749
2012,Percentage,,,Male,Berlin,code11,47.454
2013,Percentage,,,Male,Berlin,code11,47.616
2014,Percentage,,,Male,Berlin,code11,48.408
2015,Percentage,,,Male,Berlin,code11,49.661
2016,Percentage,,,Male,Berlin,code11,55.666
2017,Percentage,,,Male,Berlin,code11,55.64
2018,Percentage,,,Male,Berlin,code11,58.121
2019,Percentage,,,Male,Berlin,code11,60.28
2020,Percentage,,,Male,Berlin,code11,61.697
2021,Percentage,,,Male,Berlin,code11,65.67
2022,Percentage,,,Male,Berlin,code11,66.914
2023,Percentage,,,Male,Berlin,code11,67.442
2005,Percentage,,,Male,Berlin,code11,45.299
2006,Percentage,,,Male,Berlin,code11,43.233
2007,Percentage,,,Male,Berlin,code11,45.499
2008,Percentage,,,Male,Berlin,code11,44.525
2009,Percentage,,,Male,Berlin,code11,44.408
2010,Percentage,,,,Brandenburg,code12,41.399
2011,Percentage,,,,Brandenburg,code12,44.471
2012,Percentage,,,,Brandenburg,code12,42.083
2013,Percentage,,,,Brandenburg,code12,42.574
2014,Percentage,,,,Brandenburg,code12,44.166
2015,Percentage,,,,Brandenburg,code12,43.263
2016,Percentage,,,,Brandenburg,code12,45.406
2017,Percentage,,,,Brandenburg,code12,42.317
2018,Percentage,,,,Brandenburg,code12,45.003
2019,Percentage,,,,Brandenburg,code12,44.383
2020,Percentage,,,,Brandenburg,code12,49.207
2021,Percentage,,,,Brandenburg,code12,54.778
2022,Percentage,,,,Brandenburg,code12,53.32
2023,Percentage,,,,Brandenburg,code12,54.765
2005,Percentage,,,,Brandenburg,code12,32.105
2006,Percentage,,,,Brandenburg,code12,33.245
2007,Percentage,,,,Brandenburg,code12,34.748
2008,Percentage,,,,Brandenburg,code12,38.584
2009,Percentage,,,,Brandenburg,code12,41.101
2010,Percentage,,,Female,Brandenburg,code12,50.174
2011,Percentage,,,Female,Brandenburg,code12,53.551
2012,Percentage,,,Female,Brandenburg,code12,51.561
2013,Percentage,,,Female,Brandenburg,code12,48.956
2014,Percentage,,,Female,Brandenburg,code12,50.463
2015,Percentage,,,Female,Brandenburg,code12,53.238
2016,Percentage,,,Female,Brandenburg,code12,54.237
2017,Percentage,,,Female,Brandenburg,code12,48.388
2018,Percentage,,,Female,Brandenburg,code12,53.229
2019,Percentage,,,Female,Brandenburg,code12,52.09
2020,Percentage,,,Female,Brandenburg,code12,54.649
2021,Percentage,,,Female,Brandenburg,code12,60.362
2022,Percentage,,,Female,Brandenburg,code12,61.187
2023,Percentage,,,Female,Brandenburg,code12,62.104
2005,Percentage,,,Female,Brandenburg,code12,36.872
2006,Percentage,,,Female,Brandenburg,code12,39.533
2007,Percentage,,,Female,Brandenburg,code12,42.239
2008,Percentage,,,Female,Brandenburg,code12,47.104
2009,Percentage,,,Female,Brandenburg,code12,47.811
2010,Percentage,,,Male,Brandenburg,code12,33.438
2011,Percentage,,,Male,Brandenburg,code12,35.83
2012,Percentage,,,Male,Brandenburg,code12,33.854
2013,Percentage,,,Male,Brandenburg,code12,36.482
2014,Percentage,,,Male,Brandenburg,code12,37.614
2015,Percentage,,,Male,Brandenburg,code12,34.099
2016,Percentage,,,Male,Brandenburg,code12,36.92
2017,Percentage,,,Male,Brandenburg,code12,36.607
2018,Percentage,,,Male,Brandenburg,code12,36.604
2019,Percentage,,,Male,Brandenburg,code12,36.622
2020,Percentage,,,Male,Brandenburg,code12,43.576
2021,Percentage,,,Male,Brandenburg,code12,49.12
2022,Percentage,,,Male,Brandenburg,code12,45.646
2023,Percentage,,,Male,Brandenburg,code12,47.682
2005,Percentage,,,Male,Brandenburg,code12,27.534
2006,Percentage,,,Male,Brandenburg,code12,27.45
2007,Percentage,,,Male,Brandenburg,code12,27.288
2008,Percentage,,,Male,Brandenburg,code12,30.42
2009,Percentage,,,Male,Brandenburg,code12,35.19
2010,Percentage,,,,Bremen,code04,41.46
2011,Percentage,,,,Bremen,code04,43.164
2012,Percentage,,,,Bremen,code04,41.831
2013,Percentage,,,,Bremen,code04,44.323
2014,Percentage,,,,Bremen,code04,53.395
2015,Percentage,,,,Bremen,code04,50.505
2016,Percentage,,,,Bremen,code04,46.57
2017,Percentage,,,,Bremen,code04,51.915
2018,Percentage,,,,Bremen,code04,52.19
2019,Percentage,,,,Bremen,code04,49.131
2020,Percentage,,,,Bremen,code04,50.924
2021,Percentage,,,,Bremen,code04,55.719
2022,Percentage,,,,Bremen,code04,51.219
2023,Percentage,,,,Bremen,code04,50.308
2005,Percentage,,,,Bremen,code04,33.792
2006,Percentage,,,,Bremen,code04,36.816
2007,Percentage,,,,Bremen,code04,38.2
2008,Percentage,,,,Bremen,code04,39.415
2009,Percentage,,,,Bremen,code04,32.736
2010,Percentage,,,Female,Bremen,code04,36.931
2011,Percentage,,,Female,Bremen,code04,47.784
2012,Percentage,,,Female,Bremen,code04,45.999
2013,Percentage,,,Female,Bremen,code04,48.15
2014,Percentage,,,Female,Bremen,code04,57.459
2015,Percentage,,,Female,Bremen,code04,54.611
2016,Percentage,,,Female,Bremen,code04,50.1
2017,Percentage,,,Female,Bremen,code04,56.96
2018,Percentage,,,Female,Bremen,code04,56.557
2019,Percentage,,,Female,Bremen,code04,56.672
2020,Percentage,,,Female,Bremen,code04,58.881
2021,Percentage,,,Female,Bremen,code04,62.746
2022,Percentage,,,Female,Bremen,code04,55.065
2023,Percentage,,,Female,Bremen,code04,51.611
2005,Percentage,,,Female,Bremen,code04,35.318
2006,Percentage,,,Female,Bremen,code04,40.104
2007,Percentage,,,Female,Bremen,code04,40.341
2008,Percentage,,,Female,Bremen,code04,40.847
2009,Percentage,,,Female,Bremen,code04,36.118
2010,Percentage,,,Male,Bremen,code04,46.491
2011,Percentage,,,Male,Bremen,code04,37.811
2012,Percentage,,,Male,Bremen,code04,38.121
2013,Percentage,,,Male,Bremen,code04,41.296
2014,Percentage,,,Male,Bremen,code04,49.645
2015,Percentage,,,Male,Bremen,code04,46.769
2016,Percentage,,,Male,Bremen,code04,42.708
2017,Percentage,,,Male,Bremen,code04,47.095
2018,Percentage,,,Male,Bremen,code04,47.898
2019,Percentage,,,Male,Bremen,code04,42.249
2020,Percentage,,,Male,Bremen,code04,43.555
2021,Percentage,,,Male,Bremen,code04,49.671
2022,Percentage,,,Male,Bremen,code04,47.678
2023,Percentage,,,Male,Bremen,code04,48.952
2005,Percentage,,,Male,Bremen,code04,32.333
2006,Percentage,,,Male,Bremen,code04,33.914
2007,Percentage,,,Male,Bremen,code04,36.337
2008,Percentage,,,Male,Bremen,code04,37.962
2009,Percentage,,,Male,Bremen,code04,28.794
2010,Percentage,,,,Hamburg,code02,52.498
2011,Percentage,,,,Hamburg,code02,55.365
2012,Percentage,,,,Hamburg,code02,54.419
2013,Percentage,,,,Hamburg,code02,55.401
2014,Percentage,,,,Hamburg,code02,58.515
2015,Percentage,,,,Hamburg,code02,60.569
2016,Percentage,,,,Hamburg,code02,59.974
2017,Percentage,,,,Hamburg,code02,57.945
2018,Percentage,,,,Hamburg,code02,61.864
2019,Percentage,,,,Hamburg,code02,59.512
2020,Percentage,,,,Hamburg,code02,60.132
2021,Percentage,,,,Hamburg,code02,65.502
2022,Percentage,,,,Hamburg,code02,59.075
2023,Percentage,,,,Hamburg,code02,62.993
2005,Percentage,,,,Hamburg,code02,45.718
2006,Percentage,,,,Hamburg,code02,48.641
2007,Percentage,,,,Hamburg,code02,49.433
2008,Percentage,,,,Hamburg,code02,50.068
2009,Percentage,,,,Hamburg,code02,53.062
2010,Percentage,,,Female,Hamburg,code02,53.76
2011,Percentage,,,Female,Hamburg,code02,57.145
2012,Percentage,,,Female,Hamburg,code02,57.634
2013,Percentage,,,Female,Hamburg,code02,60.093
2014,Percentage,,,Female,Hamburg,code02,61.448
2015,Percentage,,,Female,Hamburg,code02,62.499
2016,Percentage,,,Female,Hamburg,code02,62.062
2017,Percentage,,,Female,Hamburg,code02,62.558
2018,Percentage,,,Female,Hamburg,code02,64.238
2019,Percentage,,,Female,Hamburg,code02,60.42
2020,Percentage,,,Female,Hamburg,code02,63.751
2021,Percentage,,,Female,Hamburg,code02,69.875
2022,Percentage,,,Female,Hamburg,code02,63.018
2023,Percentage,,,Female,Hamburg,code02,67.857
2005,Percentage,,,Female,Hamburg,code02,47.503
2006,Percentage,,,Female,Hamburg,code02,48.986
2007,Percentage,,,Female,Hamburg,code02,53.833
2008,Percentage,,,Female,Hamburg,code02,53.04
2009,Percentage,,,Female,Hamburg,code02,54.022
2010,Percentage,,,Male,Hamburg,code02,51.299
2011,Percentage,,,Male,Hamburg,code02,53.572
2012,Percentage,,,Male,Hamburg,code02,51.051
2013,Percentage,,,Male,Hamburg,code02,50.681
2014,Percentage,,,Male,Hamburg,code02,55.353
2015,Percentage,,,Male,Hamburg,code02,58.535
2016,Percentage,,,Male,Hamburg,code02,57.967
2017,Percentage,,,Male,Hamburg,code02,53.277
