Year,Value,Units,GeoCode
1999,33.05,Percentage,
2010,41.245,Percentage,
2011,42.148,Percentage,
2012,43.335,Percentage,
2013,44.3,Percentage,
2014,45.706,Percentage,
2015,46.815,Percentage,
2016,47.979,Percentage,
2017,48.836,Percentage,
2018,49.807,Percentage,
2019,50.488,Percentage,
2020,52.3,Percentage,
2021,54.3,Percentage,
2022,,Percentage,
2000,33.366,Percentage,
2001,33.62,Percentage,
2002,32.406,Percentage,
2003,33.947,Percentage,
2004,36.263,Percentage,
2005,36.023,Percentage,
2006,36.455,Percentage,
2007,37.635,Percentage,
2008,38.863,Percentage,
2009,40.743,Percentage,
2030,,Percentage,
