Year,Units,time series,Value
2005,2005 = 100,final energy consumption for the transport of goods,97.866
2006,2005 = 100,final energy consumption for the transport of goods,102.156
2007,2005 = 100,final energy consumption for the transport of goods,104.867
2008,2005 = 100,final energy consumption for the transport of goods,102.831
2009,2005 = 100,final energy consumption for the transport of goods,93.169
2010,2005 = 100,final energy consumption for the transport of goods,96.552
2011,2005 = 100,final energy consumption for the transport of goods,98.076
2012,2005 = 100,final energy consumption for the transport of goods,96.176
2013,2005 = 100,final energy consumption for the transport of goods,97.134
2014,2005 = 100,final energy consumption for the transport of goods,98.625
2015,2005 = 100,final energy consumption for the transport of goods,100.0
2016,2005 = 100,final energy consumption for the transport of goods,101.967
2017,2005 = 100,final energy consumption for the transport of goods,104.316
2018,2005 = 100,final energy consumption for the transport of goods,105.874
2019,2005 = 100,final energy consumption for the transport of goods,104.778
2020,2005 = 100,final energy consumption for the transport of goods,101.82
2021,2005 = 100,final energy consumption for the transport of goods,104.202
2022,2005 = 100,final energy consumption for the transport of goods,102.074
2023,2005 = 100,final energy consumption for the transport of goods,98.675
2030,2005 = 100,final energy consumption for the transport of goods,
2005,2005 = 100,goods transport performance,100.0
2006,2005 = 100,goods transport performance,107.457
2007,2005 = 100,goods transport performance,112.232
2008,2005 = 100,goods transport performance,112.914
2009,2005 = 100,goods transport performance,100.475
2010,2005 = 100,goods transport performance,108.179
2011,2005 = 100,goods transport performance,108.284
2012,2005 = 100,goods transport performance,106.515
2013,2005 = 100,goods transport performance,109.191
2014,2005 = 100,goods transport performance,111.07
2015,2005 = 100,goods transport performance,113.689
2016,2005 = 100,goods transport performance,118.247
2017,2005 = 100,goods transport performance,121.114
2018,2005 = 100,goods transport performance,121.413
2019,2005 = 100,goods transport performance,122.005
2020,2005 = 100,goods transport performance,117.416
2021,2005 = 100,goods transport performance,123.27
2022,2005 = 100,goods transport performance,122.665
2023,2005 = 100,goods transport performance,116.618
2030,2005 = 100,goods transport performance,
2005,2005 = 100,energy consumption per tonne-kilometre,111.263
2006,2005 = 100,energy consumption per tonne-kilometre,108.08
2007,2005 = 100,energy consumption per tonne-kilometre,106.228
2008,2005 = 100,energy consumption per tonne-kilometre,103.537
2009,2005 = 100,energy consumption per tonne-kilometre,105.422
2010,2005 = 100,energy consumption per tonne-kilometre,101.469
2011,2005 = 100,energy consumption per tonne-kilometre,102.971
2012,2005 = 100,energy consumption per tonne-kilometre,102.654
2013,2005 = 100,energy consumption per tonne-kilometre,101.135
2014,2005 = 100,energy consumption per tonne-kilometre,100.95
2015,2005 = 100,energy consumption per tonne-kilometre,100.0
2016,2005 = 100,energy consumption per tonne-kilometre,98.037
2017,2005 = 100,energy consumption per tonne-kilometre,97.921
2018,2005 = 100,energy consumption per tonne-kilometre,99.138
2019,2005 = 100,energy consumption per tonne-kilometre,97.636
2020,2005 = 100,energy consumption per tonne-kilometre,98.588
2021,2005 = 100,energy consumption per tonne-kilometre,96.103
2022,2005 = 100,energy consumption per tonne-kilometre,94.604
2023,2005 = 100,energy consumption per tonne-kilometre,94.144
2030,2005 = 100,energy consumption per tonne-kilometre,
