Year,Units,time series,qualification,sex,federal state,GeoCode,Value
1999,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,,,33.351
2010,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,,,41.37
2011,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,,,42.263
2012,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,,,43.464
2013,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,,,44.518
2014,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,,,45.734
2015,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,,,46.77
2016,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,,,47.879
2017,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,,,48.835
2018,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,,,49.833
2019,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,,,50.488
2020,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,,,52.285
2021,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,,,53.642
2022,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,,,53.547
2023,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,,,55.339
2024,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,,,57.329
2000,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,,,32.997
2001,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,,,33.172
2002,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,,,33.277
2003,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,,,33.948
2004,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,,,36.221
2005,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,,,36.0
2006,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,,,36.504
2007,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,,,37.638
2008,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,,,38.866
2009,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,,,40.802
2030,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,,,
1999,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,,,31.358
2010,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,,,42.746
2011,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,,,44.361
2012,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,,,45.984
2013,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,,,46.843
2014,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,,,48.374
2015,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,,,50.521
2016,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,,,51.295
2017,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,,,52.64
2018,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,,,53.827
2019,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,,,54.411
2020,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,,,56.549
2021,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,,,57.49
2022,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,,,57.537
2023,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,,,59.403
2024,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,,,61.581
2000,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,,,30.88
2001,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,,,31.088
2002,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,,,31.291
2003,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,,,32.233
2004,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,,,34.654
2005,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,,,34.992
2006,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,,,36.482
2007,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,,,38.032
2008,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,,,39.689
2009,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,,,42.199
1999,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,,,35.172
2010,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,,,40.016
2011,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,,,40.109
2012,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,,,40.903
2013,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,,,42.229
2014,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,,,42.906
2015,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,,,43.109
2016,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,,,44.574
2017,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,,,45.188
2018,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,,,46.02
2019,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,,,46.764
2020,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,,,48.219
2021,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,,,50.008
2022,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,,,49.754
2023,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,,,51.478
2024,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,,,53.318
2000,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,,,35.042
2001,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,,,35.23
2002,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,,,35.233
2003,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,,,35.467
2004,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,,,37.722
2005,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,,,36.975
2006,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,,,36.526
2007,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,,,37.256
2008,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,,,37.854
2009,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,,,39.223
2010,percentage,,,,baden-wuerttemberg,code08,42.275
2011,percentage,,,,baden-wuerttemberg,code08,43.361
2012,percentage,,,,baden-wuerttemberg,code08,44.923
2013,percentage,,,,baden-wuerttemberg,code08,47.288
2014,percentage,,,,baden-wuerttemberg,code08,47.346
2015,percentage,,,,baden-wuerttemberg,code08,48.374
2016,percentage,,,,baden-wuerttemberg,code08,50.185
2017,percentage,,,,baden-wuerttemberg,code08,50.534
2018,percentage,,,,baden-wuerttemberg,code08,51.293
2019,percentage,,,,baden-wuerttemberg,code08,53.689
2020,percentage,,,,baden-wuerttemberg,code08,53.97
2021,percentage,,,,baden-wuerttemberg,code08,54.924
2022,percentage,,,,baden-wuerttemberg,code08,55.408
2023,percentage,,,,baden-wuerttemberg,code08,57.61
2005,percentage,,,,baden-wuerttemberg,code08,36.883
2006,percentage,,,,baden-wuerttemberg,code08,36.866
2007,percentage,,,,baden-wuerttemberg,code08,37.592
2008,percentage,,,,baden-wuerttemberg,code08,37.838
2009,percentage,,,,baden-wuerttemberg,code08,41.901
2010,percentage,,,female,baden-wuerttemberg,code08,40.693
2011,percentage,,,female,baden-wuerttemberg,code08,41.862
2012,percentage,,,female,baden-wuerttemberg,code08,44.431
2013,percentage,,,female,baden-wuerttemberg,code08,46.144
2014,percentage,,,female,baden-wuerttemberg,code08,48.068
2015,percentage,,,female,baden-wuerttemberg,code08,49.588
2016,percentage,,,female,baden-wuerttemberg,code08,50.933
2017,percentage,,,female,baden-wuerttemberg,code08,51.385
2018,percentage,,,female,baden-wuerttemberg,code08,52.186
2019,percentage,,,female,baden-wuerttemberg,code08,56.364
2020,percentage,,,female,baden-wuerttemberg,code08,56.993
2021,percentage,,,female,baden-wuerttemberg,code08,58.152
2022,percentage,,,female,baden-wuerttemberg,code08,58.323
2023,percentage,,,female,baden-wuerttemberg,code08,60.612
2005,percentage,,,female,baden-wuerttemberg,code08,33.109
2006,percentage,,,female,baden-wuerttemberg,code08,34.227
2007,percentage,,,female,baden-wuerttemberg,code08,35.694
2008,percentage,,,female,baden-wuerttemberg,code08,36.015
2009,percentage,,,female,baden-wuerttemberg,code08,41.037
2010,percentage,,,male,baden-wuerttemberg,code08,43.877
2011,percentage,,,male,baden-wuerttemberg,code08,44.857
2012,percentage,,,male,baden-wuerttemberg,code08,45.413
2013,percentage,,,male,baden-wuerttemberg,code08,48.428
2014,percentage,,,male,baden-wuerttemberg,code08,46.645
2015,percentage,,,male,baden-wuerttemberg,code08,47.207
2016,percentage,,,male,baden-wuerttemberg,code08,49.479
2017,percentage,,,male,baden-wuerttemberg,code08,49.718
2018,percentage,,,male,baden-wuerttemberg,code08,50.463
2019,percentage,,,male,baden-wuerttemberg,code08,51.236
2020,percentage,,,male,baden-wuerttemberg,code08,51.226
2021,percentage,,,male,baden-wuerttemberg,code08,52.019
2022,percentage,,,male,baden-wuerttemberg,code08,52.739
2023,percentage,,,male,baden-wuerttemberg,code08,54.825
2005,percentage,,,male,baden-wuerttemberg,code08,40.459
2006,percentage,,,male,baden-wuerttemberg,code08,39.43
2007,percentage,,,male,baden-wuerttemberg,code08,39.471
2008,percentage,,,male,baden-wuerttemberg,code08,39.693
2009,percentage,,,male,baden-wuerttemberg,code08,42.792
2010,percentage,,,,bavaria,code09,40.387
2011,percentage,,,,bavaria,code09,41.098
2012,percentage,,,,bavaria,code09,43.579
2013,percentage,,,,bavaria,code09,45.314
2014,percentage,,,,bavaria,code09,45.821
2015,percentage,,,,bavaria,code09,45.682
2016,percentage,,,,bavaria,code09,48.009
2017,percentage,,,,bavaria,code09,48.604
2018,percentage,,,,bavaria,code09,49.827
2019,percentage,,,,bavaria,code09,49.32
2020,percentage,,,,bavaria,code09,51.069
2021,percentage,,,,bavaria,code09,54.096
2022,percentage,,,,bavaria,code09,52.735
2023,percentage,,,,bavaria,code09,56.237
2005,percentage,,,,bavaria,code09,35.151
2006,percentage,,,,bavaria,code09,34.678
2007,percentage,,,,bavaria,code09,35.837
2008,percentage,,,,bavaria,code09,37.516
2009,percentage,,,,bavaria,code09,39.422
2010,percentage,,,female,bavaria,code09,40.153
2011,percentage,,,female,bavaria,code09,41.562
2012,percentage,,,female,bavaria,code09,44.785
2013,percentage,,,female,bavaria,code09,45.332
2014,percentage,,,female,bavaria,code09,46.105
2015,percentage,,,female,bavaria,code09,47.412
2016,percentage,,,female,bavaria,code09,49.515
2017,percentage,,,female,bavaria,code09,50.679
2018,percentage,,,female,bavaria,code09,52.125
2019,percentage,,,female,bavaria,code09,50.639
2020,percentage,,,female,bavaria,code09,52.607
2021,percentage,,,female,bavaria,code09,56.22
2022,percentage,,,female,bavaria,code09,55.121
2023,percentage,,,female,bavaria,code09,58.126
2005,percentage,,,female,bavaria,code09,32.879
2006,percentage,,,female,bavaria,code09,33.134
2007,percentage,,,female,bavaria,code09,34.766
2008,percentage,,,female,bavaria,code09,36.77
2009,percentage,,,female,bavaria,code09,38.524
2010,percentage,,,male,bavaria,code09,40.614
2011,percentage,,,male,bavaria,code09,40.654
2012,percentage,,,male,bavaria,code09,42.36
2013,percentage,,,male,bavaria,code09,45.291
2014,percentage,,,male,bavaria,code09,45.527
2015,percentage,,,male,bavaria,code09,43.947
2016,percentage,,,male,bavaria,code09,46.553
2017,percentage,,,male,bavaria,code09,46.68
2018,percentage,,,male,bavaria,code09,47.731
2019,percentage,,,male,bavaria,code09,48.066
2020,percentage,,,male,bavaria,code09,49.638
2021,percentage,,,male,bavaria,code09,52.173
2022,percentage,,,male,bavaria,code09,50.487
2023,percentage,,,male,bavaria,code09,54.471
2005,percentage,,,male,bavaria,code09,37.367
2006,percentage,,,male,bavaria,code09,36.229
2007,percentage,,,male,bavaria,code09,36.854
2008,percentage,,,male,bavaria,code09,38.268
2009,percentage,,,male,bavaria,code09,40.279
2010,percentage,,,,berlin,code11,50.741
2011,percentage,,,,berlin,code11,51.842
2012,percentage,,,,berlin,code11,53.682
2013,percentage,,,,berlin,code11,53.226
2014,percentage,,,,berlin,code11,53.955
2015,percentage,,,,berlin,code11,56.682
2016,percentage,,,,berlin,code11,59.716
2017,percentage,,,,berlin,code11,60.877
2018,percentage,,,,berlin,code11,62.555
2019,percentage,,,,berlin,code11,64.708
2020,percentage,,,,berlin,code11,65.78
2021,percentage,,,,berlin,code11,68.733
2022,percentage,,,,berlin,code11,70.316
2023,percentage,,,,berlin,code11,70.194
2005,percentage,,,,berlin,code11,46.171
2006,percentage,,,,berlin,code11,46.613
2007,percentage,,,,berlin,code11,49.178
2008,percentage,,,,berlin,code11,47.103
2009,percentage,,,,berlin,code11,50.363
2010,percentage,,,female,berlin,code11,55.98
2011,percentage,,,female,berlin,code11,59.257
2012,percentage,,,female,berlin,code11,60.203
2013,percentage,,,female,berlin,code11,59.132
2014,percentage,,,female,berlin,code11,59.84
2015,percentage,,,female,berlin,code11,63.74
2016,percentage,,,female,berlin,code11,63.622
2017,percentage,,,female,berlin,code11,66.054
2018,percentage,,,female,berlin,code11,66.938
2019,percentage,,,female,berlin,code11,69.033
2020,percentage,,,female,berlin,code11,70.086
2021,percentage,,,female,berlin,code11,71.8
2022,percentage,,,female,berlin,code11,73.897
2023,percentage,,,female,berlin,code11,73.012
2005,percentage,,,female,berlin,code11,47.091
2006,percentage,,,female,berlin,code11,50.091
2007,percentage,,,female,berlin,code11,53.045
2008,percentage,,,female,berlin,code11,49.895
2009,percentage,,,female,berlin,code11,56.248
2010,percentage,,,male,berlin,code11,45.795
2011,percentage,,,male,berlin,code11,44.749
2012,percentage,,,male,berlin,code11,47.454
2013,percentage,,,male,berlin,code11,47.616
2014,percentage,,,male,berlin,code11,48.408
2015,percentage,,,male,berlin,code11,49.661
2016,percentage,,,male,berlin,code11,55.666
2017,percentage,,,male,berlin,code11,55.64
2018,percentage,,,male,berlin,code11,58.121
2019,percentage,,,male,berlin,code11,60.28
2020,percentage,,,male,berlin,code11,61.697
2021,percentage,,,male,berlin,code11,65.67
2022,percentage,,,male,berlin,code11,66.914
2023,percentage,,,male,berlin,code11,67.442
2005,percentage,,,male,berlin,code11,45.299
2006,percentage,,,male,berlin,code11,43.233
2007,percentage,,,male,berlin,code11,45.499
2008,percentage,,,male,berlin,code11,44.525
2009,percentage,,,male,berlin,code11,44.408
2010,percentage,,,,brandenburg,code12,41.399
2011,percentage,,,,brandenburg,code12,44.471
2012,percentage,,,,brandenburg,code12,42.083
2013,percentage,,,,brandenburg,code12,42.574
2014,percentage,,,,brandenburg,code12,44.166
2015,percentage,,,,brandenburg,code12,43.263
2016,percentage,,,,brandenburg,code12,45.406
2017,percentage,,,,brandenburg,code12,42.317
2018,percentage,,,,brandenburg,code12,45.003
2019,percentage,,,,brandenburg,code12,44.383
2020,percentage,,,,brandenburg,code12,49.207
2021,percentage,,,,brandenburg,code12,54.778
2022,percentage,,,,brandenburg,code12,53.32
2023,percentage,,,,brandenburg,code12,54.765
2005,percentage,,,,brandenburg,code12,32.105
2006,percentage,,,,brandenburg,code12,33.245
2007,percentage,,,,brandenburg,code12,34.748
2008,percentage,,,,brandenburg,code12,38.584
2009,percentage,,,,brandenburg,code12,41.101
2010,percentage,,,female,brandenburg,code12,50.174
2011,percentage,,,female,brandenburg,code12,53.551
2012,percentage,,,female,brandenburg,code12,51.561
2013,percentage,,,female,brandenburg,code12,48.956
2014,percentage,,,female,brandenburg,code12,50.463
2015,percentage,,,female,brandenburg,code12,53.238
2016,percentage,,,female,brandenburg,code12,54.237
2017,percentage,,,female,brandenburg,code12,48.388
2018,percentage,,,female,brandenburg,code12,53.229
2019,percentage,,,female,brandenburg,code12,52.09
2020,percentage,,,female,brandenburg,code12,54.649
2021,percentage,,,female,brandenburg,code12,60.362
2022,percentage,,,female,brandenburg,code12,61.187
2023,percentage,,,female,brandenburg,code12,62.104
2005,percentage,,,female,brandenburg,code12,36.872
2006,percentage,,,female,brandenburg,code12,39.533
2007,percentage,,,female,brandenburg,code12,42.239
2008,percentage,,,female,brandenburg,code12,47.104
2009,percentage,,,female,brandenburg,code12,47.811
2010,percentage,,,male,brandenburg,code12,33.438
2011,percentage,,,male,brandenburg,code12,35.83
2012,percentage,,,male,brandenburg,code12,33.854
2013,percentage,,,male,brandenburg,code12,36.482
2014,percentage,,,male,brandenburg,code12,37.614
2015,percentage,,,male,brandenburg,code12,34.099
2016,percentage,,,male,brandenburg,code12,36.92
2017,percentage,,,male,brandenburg,code12,36.607
2018,percentage,,,male,brandenburg,code12,36.604
2019,percentage,,,male,brandenburg,code12,36.622
2020,percentage,,,male,brandenburg,code12,43.576
2021,percentage,,,male,brandenburg,code12,49.12
2022,percentage,,,male,brandenburg,code12,45.646
2023,percentage,,,male,brandenburg,code12,47.682
2005,percentage,,,male,brandenburg,code12,27.534
2006,percentage,,,male,brandenburg,code12,27.45
2007,percentage,,,male,brandenburg,code12,27.288
2008,percentage,,,male,brandenburg,code12,30.42
2009,percentage,,,male,brandenburg,code12,35.19
2010,percentage,,,,bremen,code04,41.46
2011,percentage,,,,bremen,code04,43.164
2012,percentage,,,,bremen,code04,41.831
2013,percentage,,,,bremen,code04,44.323
2014,percentage,,,,bremen,code04,53.395
2015,percentage,,,,bremen,code04,50.505
2016,percentage,,,,bremen,code04,46.57
2017,percentage,,,,bremen,code04,51.915
2018,percentage,,,,bremen,code04,52.19
2019,percentage,,,,bremen,code04,49.131
2020,percentage,,,,bremen,code04,50.924
2021,percentage,,,,bremen,code04,55.719
2022,percentage,,,,bremen,code04,51.219
2023,percentage,,,,bremen,code04,50.308
2005,percentage,,,,bremen,code04,33.792
2006,percentage,,,,bremen,code04,36.816
2007,percentage,,,,bremen,code04,38.2
2008,percentage,,,,bremen,code04,39.415
2009,percentage,,,,bremen,code04,32.736
2010,percentage,,,female,bremen,code04,36.931
2011,percentage,,,female,bremen,code04,47.784
2012,percentage,,,female,bremen,code04,45.999
2013,percentage,,,female,bremen,code04,48.15
2014,percentage,,,female,bremen,code04,57.459
2015,percentage,,,female,bremen,code04,54.611
2016,percentage,,,female,bremen,code04,50.1
2017,percentage,,,female,bremen,code04,56.96
2018,percentage,,,female,bremen,code04,56.557
2019,percentage,,,female,bremen,code04,56.672
2020,percentage,,,female,bremen,code04,58.881
2021,percentage,,,female,bremen,code04,62.746
2022,percentage,,,female,bremen,code04,55.065
2023,percentage,,,female,bremen,code04,51.611
2005,percentage,,,female,bremen,code04,35.318
2006,percentage,,,female,bremen,code04,40.104
2007,percentage,,,female,bremen,code04,40.341
2008,percentage,,,female,bremen,code04,40.847
2009,percentage,,,female,bremen,code04,36.118
2010,percentage,,,male,bremen,code04,46.491
2011,percentage,,,male,bremen,code04,37.811
2012,percentage,,,male,bremen,code04,38.121
2013,percentage,,,male,bremen,code04,41.296
2014,percentage,,,male,bremen,code04,49.645
2015,percentage,,,male,bremen,code04,46.769
2016,percentage,,,male,bremen,code04,42.708
2017,percentage,,,male,bremen,code04,47.095
2018,percentage,,,male,bremen,code04,47.898
2019,percentage,,,male,bremen,code04,42.249
2020,percentage,,,male,bremen,code04,43.555
2021,percentage,,,male,bremen,code04,49.671
2022,percentage,,,male,bremen,code04,47.678
2023,percentage,,,male,bremen,code04,48.952
2005,percentage,,,male,bremen,code04,32.333
2006,percentage,,,male,bremen,code04,33.914
2007,percentage,,,male,bremen,code04,36.337
2008,percentage,,,male,bremen,code04,37.962
2009,percentage,,,male,bremen,code04,28.794
2010,percentage,,,,hamburg,code02,52.498
2011,percentage,,,,hamburg,code02,55.365
2012,percentage,,,,hamburg,code02,54.419
2013,percentage,,,,hamburg,code02,55.401
2014,percentage,,,,hamburg,code02,58.515
2015,percentage,,,,hamburg,code02,60.569
2016,percentage,,,,hamburg,code02,59.974
2017,percentage,,,,hamburg,code02,57.945
2018,percentage,,,,hamburg,code02,61.864
2019,percentage,,,,hamburg,code02,59.512
2020,percentage,,,,hamburg,code02,60.132
2021,percentage,,,,hamburg,code02,65.502
2022,percentage,,,,hamburg,code02,59.075
2023,percentage,,,,hamburg,code02,62.993
2005,percentage,,,,hamburg,code02,45.718
2006,percentage,,,,hamburg,code02,48.641
2007,percentage,,,,hamburg,code02,49.433
2008,percentage,,,,hamburg,code02,50.068
2009,percentage,,,,hamburg,code02,53.062
2010,percentage,,,female,hamburg,code02,53.76
2011,percentage,,,female,hamburg,code02,57.145
2012,percentage,,,female,hamburg,code02,57.634
2013,percentage,,,female,hamburg,code02,60.093
2014,percentage,,,female,hamburg,code02,61.448
2015,percentage,,,female,hamburg,code02,62.499
2016,percentage,,,female,hamburg,code02,62.062
2017,percentage,,,female,hamburg,code02,62.558
2018,percentage,,,female,hamburg,code02,64.238
2019,percentage,,,female,hamburg,code02,60.42
2020,percentage,,,female,hamburg,code02,63.751
2021,percentage,,,female,hamburg,code02,69.875
2022,percentage,,,female,hamburg,code02,63.018
2023,percentage,,,female,hamburg,code02,67.857
2005,percentage,,,female,hamburg,code02,47.503
2006,percentage,,,female,hamburg,code02,48.986
2007,percentage,,,female,hamburg,code02,53.833
2008,percentage,,,female,hamburg,code02,53.04
2009,percentage,,,female,hamburg,code02,54.022
2010,percentage,,,male,hamburg,code02,51.299
2011,percentage,,,male,hamburg,code02,53.572
2012,percentage,,,male,hamburg,code02,51.051
2013,percentage,,,male,hamburg,code02,50.681
2014,percentage,,,male,hamburg,code02,55.353
2015,percentage,,,male,hamburg,code02,58.535
2016,percentage,,,male,hamburg,code02,57.967
2017,percentage,,,male,hamburg,code02,53.277
2018,percentage,,,male,hamburg,code02,59.441
2019,percentage,,,male,hamburg,code02,58.631
2020,percentage,,,male,hamburg,code02,56.579
2021,percentage,,,male,hamburg,code02,61.17
2022,percentage,,,male,hamburg,code02,55.308
2023,percentage,,,male,hamburg,code02,58.392
2005,percentage,,,male,hamburg,code02,44.1
2006,percentage,,,male,hamburg,code02,48.299
2007,percentage,,,male,hamburg,code02,45.16
2008,percentage,,,male,hamburg,code02,47.117
2009,percentage,,,male,hamburg,code02,52.168
2010,percentage,,,,hesse,code06,45.446
2011,percentage,,,,hesse,code06,46.114
2012,percentage,,,,hesse,code06,47.165
2013,percentage,,,,hesse,code06,47.566
2014,percentage,,,,hesse,code06,46.33
2015,percentage,,,,hesse,code06,49.362
2016,percentage,,,,hesse,code06,50.411
2017,percentage,,,,hesse,code06,53.931
2018,percentage,,,,hesse,code06,52.38
2019,percentage,,,,hesse,code06,52.684
2020,percentage,,,,hesse,code06,52.672
2021,percentage,,,,hesse,code06,51.93
2022,percentage,,,,hesse,code06,51.691
2023,percentage,,,,hesse,code06,55.541
2005,percentage,,,,hesse,code06,40.651
2006,percentage,,,,hesse,code06,40.198
2007,percentage,,,,hesse,code06,40.853
2008,percentage,,,,hesse,code06,40.292
2009,percentage,,,,hesse,code06,43.095
2010,percentage,,,female,hesse,code06,46.294
2011,percentage,,,female,hesse,code06,46.657
2012,percentage,,,female,hesse,code06,47.982
2013,percentage,,,female,hesse,code06,48.939
2014,percentage,,,female,hesse,code06,47.9
2015,percentage,,,female,hesse,code06,52.106
2016,percentage,,,female,hesse,code06,52.978
2017,percentage,,,female,hesse,code06,58.31
2018,percentage,,,female,hesse,code06,56.935
2019,percentage,,,female,hesse,code06,57.322
2020,percentage,,,female,hesse,code06,54.372
2021,percentage,,,female,hesse,code06,54.978
2022,percentage,,,female,hesse,code06,54.449
2023,percentage,,,female,hesse,code06,59.29
2005,percentage,,,female,hesse,code06,38.717
2006,percentage,,,female,hesse,code06,38.815
2007,percentage,,,female,hesse,code06,39.772
2008,percentage,,,female,hesse,code06,40.646
2009,percentage,,,female,hesse,code06,44.105
2010,percentage,,,male,hesse,code06,44.56
2011,percentage,,,male,hesse,code06,45.539
2012,percentage,,,male,hesse,code06,46.331
2013,percentage,,,male,hesse,code06,46.136
2014,percentage,,,male,hesse,code06,44.808
2015,percentage,,,male,hesse,code06,46.628
2016,percentage,,,male,hesse,code06,47.759
