Year,Value,Units,Series
1994,116.6,kilogram per hectare,moving five-year average shown for the last year
1995,111.0,kilogram per hectare,moving five-year average shown for the last year
1996,109.1,kilogram per hectare,moving five-year average shown for the last year
1997,107.5,kilogram per hectare,moving five-year average shown for the last year
1998,107.8,kilogram per hectare,moving five-year average shown for the last year
1999,108.7,kilogram per hectare,moving five-year average shown for the last year
2000,109.1,kilogram per hectare,moving five-year average shown for the last year
2001,107.9,kilogram per hectare,moving five-year average shown for the last year
2002,108.3,kilogram per hectare,moving five-year average shown for the last year
2003,107.8,kilogram per hectare,moving five-year average shown for the last year
2004,105.1,kilogram per hectare,moving five-year average shown for the last year
2005,102.5,kilogram per hectare,moving five-year average shown for the last year
2006,103.3,kilogram per hectare,moving five-year average shown for the last year
2007,102.2,kilogram per hectare,moving five-year average shown for the last year
2008,101.8,kilogram per hectare,moving five-year average shown for the last year
2009,99.1,kilogram per hectare,moving five-year average shown for the last year
2010,96.6,kilogram per hectare,moving five-year average shown for the last year
2011,96.8,kilogram per hectare,moving five-year average shown for the last year
2012,94.9,kilogram per hectare,moving five-year average shown for the last year
2013,93.0,kilogram per hectare,moving five-year average shown for the last year
2014,93.2,kilogram per hectare,moving five-year average shown for the last year
2015,95.6,kilogram per hectare,moving five-year average shown for the last year
2016,94.0,kilogram per hectare,moving five-year average shown for the last year
2017,93.8,kilogram per hectare,moving five-year average shown for the last year
2018,92.7,kilogram per hectare,moving five-year average shown for the last year
2019,91.5,kilogram per hectare,moving five-year average shown for the last year
2020,87.0,kilogram per hectare,moving five-year average shown for the last year
2030,,kilogram per hectare,moving five-year average shown for the last year
1990,141.5,kilogram per hectare,calculated annual values
1991,117.1,kilogram per hectare,calculated annual values
1992,111.9,kilogram per hectare,calculated annual values
1993,106.3,kilogram per hectare,calculated annual values
1994,106.3,kilogram per hectare,calculated annual values
1995,113.2,kilogram per hectare,calculated annual values
1996,107.7,kilogram per hectare,calculated annual values
1997,104.0,kilogram per hectare,calculated annual values
1998,107.8,kilogram per hectare,calculated annual values
1999,111.0,kilogram per hectare,calculated annual values
2000,115.3,kilogram per hectare,calculated annual values
2001,101.7,kilogram per hectare,calculated annual values
2002,105.8,kilogram per hectare,calculated annual values
2003,105.4,kilogram per hectare,calculated annual values
2004,97.3,kilogram per hectare,calculated annual values
2005,102.4,kilogram per hectare,calculated annual values
2006,105.7,kilogram per hectare,calculated annual values
2007,100.4,kilogram per hectare,calculated annual values
2008,103.2,kilogram per hectare,calculated annual values
2009,83.7,kilogram per hectare,calculated annual values
2010,90.3,kilogram per hectare,calculated annual values
2011,106.2,kilogram per hectare,calculated annual values
2012,91.0,kilogram per hectare,calculated annual values
2013,93.6,kilogram per hectare,calculated annual values
2014,84.8,kilogram per hectare,calculated annual values
2015,102.1,kilogram per hectare,calculated annual values
2016,98.5,kilogram per hectare,calculated annual values
2017,90.0,kilogram per hectare,calculated annual values
2018,87.9,kilogram per hectare,calculated annual values
2019,78.7,kilogram per hectare,calculated annual values
2020,79.7,kilogram per hectare,calculated annual values
2030,,kilogram per hectare,calculated annual values
