Year,Value,Units,GeoCode
1999,33.05,percentage,
2010,41.3,percentage,
2011,42.2,percentage,
2012,43.4,percentage,
2013,44.5,percentage,
2014,45.7,percentage,
2015,46.8,percentage,
2016,47.9,percentage,
2017,48.8,percentage,
2018,49.4,percentage,
2019,50.1,percentage,
2020,52.3,percentage,
2021,53.1,percentage,
2022,53.7,percentage,
2000,32.997,percentage,
2001,33.171,percentage,
2002,33.277,percentage,
2003,33.892,percentage,
2004,36.22,percentage,
2005,36.0,percentage,
2006,36.5,percentage,
2007,37.6,percentage,
2008,38.8,percentage,
2009,40.7,percentage,
2030,,percentage,
